,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_kNN\Warriner5000\Warriner_5000_10_FastText_historicalVAD.tsv,0.728,0.0,0.5821,0.0001,0.5925,0.0001,0.6342
HistoricalVAD\FastText_kNN\Warriner5000\Warriner_5000_11_FastText_historicalVAD.tsv,0.7986,0.0,0.5894,0.0001,0.6519,0.0,0.68
HistoricalVAD\FastText_kNN\Warriner5000\Warriner_5000_12_FastText_historicalVAD.tsv,0.7819,0.0,0.5511,0.0003,0.6279,0.0,0.6536
HistoricalVAD\FastText_kNN\Warriner5000\Warriner_5000_13_FastText_historicalVAD.tsv,0.747,0.0,0.5513,0.0003,0.6257,0.0,0.6413
HistoricalVAD\FastText_kNN\Warriner5000\Warriner_5000_14_FastText_historicalVAD.tsv,0.7392,0.0,0.6008,0.0001,0.4563,0.004,0.5988
HistoricalVAD\FastText_kNN\Warriner5000\Warriner_5000_15_FastText_historicalVAD.tsv,0.7507,0.0,0.5659,0.0002,0.5471,0.0004,0.6212
HistoricalVAD\FastText_kNN\Warriner5000\Warriner_5000_16_FastText_historicalVAD.tsv,0.7471,0.0,0.5479,0.0004,0.5696,0.0002,0.6215
HistoricalVAD\FastText_kNN\Warriner5000\Warriner_5000_17_FastText_historicalVAD.tsv,0.7638,0.0,0.5879,0.0001,0.6074,0.0001,0.653
HistoricalVAD\FastText_kNN\Warriner5000\Warriner_5000_18_FastText_historicalVAD.tsv,0.7777,0.0,0.5382,0.0005,0.5841,0.0001,0.6333
HistoricalVAD\FastText_kNN\Warriner5000\Warriner_5000_19_FastText_historicalVAD.tsv,0.7774,0.0,0.5732,0.0002,0.5934,0.0001,0.648
HistoricalVAD\FastText_kNN\Warriner5000\Warriner_5000_1_FastText_historicalVAD.tsv,0.7599,0.0,0.5897,0.0001,0.5418,0.0004,0.6305
HistoricalVAD\FastText_kNN\Warriner5000\Warriner_5000_20_FastText_historicalVAD.tsv,0.7887,0.0,0.5798,0.0001,0.6226,0.0,0.6637
