,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_10_SGNS_historicalVAD.tsv,0.8865,0.0,0.4726,0.0027,0.7651,0.0,0.7081
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_11_SGNS_historicalVAD.tsv,0.8934,0.0,0.4921,0.0017,0.7736,0.0,0.7197
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_12_SGNS_historicalVAD.tsv,0.8637,0.0,0.4571,0.0039,0.7514,0.0,0.6907
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_13_SGNS_historicalVAD.tsv,0.872,0.0,0.4872,0.0019,0.7654,0.0,0.7082
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_14_SGNS_historicalVAD.tsv,0.8669,0.0,0.5383,0.0005,0.7342,0.0,0.7131
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_15_SGNS_historicalVAD.tsv,0.8555,0.0,0.4761,0.0025,0.7418,0.0,0.6911
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_16_SGNS_historicalVAD.tsv,0.8973,0.0,0.5558,0.0003,0.7467,0.0,0.7333
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_17_SGNS_historicalVAD.tsv,0.8898,0.0,0.4518,0.0044,0.7695,0.0,0.7037
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_18_SGNS_historicalVAD.tsv,0.8728,0.0,0.4694,0.0029,0.7525,0.0,0.6982
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_19_SGNS_historicalVAD.tsv,0.8803,0.0,0.5122,0.001,0.79,0.0,0.7275
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_1_SGNS_historicalVAD.tsv,0.8874,0.0,0.5206,0.0008,0.7476,0.0,0.7185
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_20_SGNS_historicalVAD.tsv,0.8819,0.0,0.5552,0.0003,0.7833,0.0,0.7401
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_21_SGNS_historicalVAD.tsv,0.9127,0.0,0.5134,0.001,0.7764,0.0,0.7342
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_22_SGNS_historicalVAD.tsv,0.8313,0.0,0.4928,0.0017,0.7506,0.0,0.6916
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_23_SGNS_historicalVAD.tsv,0.8615,0.0,0.4843,0.0021,0.756,0.0,0.7006
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_24_SGNS_historicalVAD.tsv,0.8768,0.0,0.4839,0.0021,0.786,0.0,0.7155
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_25_SGNS_historicalVAD.tsv,0.8854,0.0,0.5815,0.0001,0.7486,0.0,0.7385
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_26_SGNS_historicalVAD.tsv,0.8828,0.0,0.561,0.0002,0.7586,0.0,0.7341
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_27_SGNS_historicalVAD.tsv,0.8834,0.0,0.4697,0.0029,0.7692,0.0,0.7074
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_28_SGNS_historicalVAD.tsv,0.8747,0.0,0.5116,0.001,0.7613,0.0,0.7159
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_29_SGNS_historicalVAD.tsv,0.8689,0.0,0.4641,0.0033,0.7339,0.0,0.689
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_2_SGNS_historicalVAD.tsv,0.8732,0.0,0.5311,0.0006,0.7487,0.0,0.7177
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_30_SGNS_historicalVAD.tsv,0.8793,0.0,0.5433,0.0004,0.7514,0.0,0.7247
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_31_SGNS_historicalVAD.tsv,0.858,0.0,0.5259,0.0007,0.7305,0.0,0.7048
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_32_SGNS_historicalVAD.tsv,0.8816,0.0,0.527,0.0007,0.7488,0.0,0.7192
HistoricalVAD\SGNS_LinearRegression\Warriner2000\Warriner_2000_33_SGNS_historicalVAD.tsv,0.872,0.0,0.4493,0.0047,0.7721,0.0,0.6978
