,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_10_FastText_historicalVAD.tsv,0.7399,0.0,0.5455,0.0004,0.5571,0.0003,0.6142
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_11_FastText_historicalVAD.tsv,0.7352,0.0,0.524,0.0007,0.5601,0.0003,0.6064
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_12_FastText_historicalVAD.tsv,0.752,0.0,0.5639,0.0002,0.5523,0.0003,0.6227
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_13_FastText_historicalVAD.tsv,0.7397,0.0,0.5768,0.0002,0.5396,0.0005,0.6187
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_14_FastText_historicalVAD.tsv,0.7722,0.0,0.5832,0.0001,0.5668,0.0002,0.6407
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_15_FastText_historicalVAD.tsv,0.7416,0.0,0.5343,0.0006,0.5339,0.0006,0.6032
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_16_FastText_historicalVAD.tsv,0.7696,0.0,0.6142,0.0,0.5555,0.0003,0.6464
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_17_FastText_historicalVAD.tsv,0.7787,0.0,0.5639,0.0002,0.5686,0.0002,0.6371
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_18_FastText_historicalVAD.tsv,0.7609,0.0,0.6107,0.0,0.5747,0.0002,0.6488
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_19_FastText_historicalVAD.tsv,0.7669,0.0,0.5669,0.0002,0.5614,0.0002,0.6317
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_1_FastText_historicalVAD.tsv,0.7566,0.0,0.5678,0.0002,0.5337,0.0006,0.6194
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_20_FastText_historicalVAD.tsv,0.7435,0.0,0.574,0.0002,0.5629,0.0002,0.6268
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_21_FastText_historicalVAD.tsv,0.7243,0.0,0.5751,0.0002,0.5125,0.001,0.604
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_22_FastText_historicalVAD.tsv,0.733,0.0,0.5511,0.0003,0.5564,0.0003,0.6135
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_23_FastText_historicalVAD.tsv,0.7617,0.0,0.5757,0.0002,0.5823,0.0001,0.6399
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_24_FastText_historicalVAD.tsv,0.7608,0.0,0.5649,0.0002,0.5592,0.0003,0.6283
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_25_FastText_historicalVAD.tsv,0.7694,0.0,0.5686,0.0002,0.541,0.0005,0.6263
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_26_FastText_historicalVAD.tsv,0.7302,0.0,0.5631,0.0002,0.5373,0.0005,0.6102
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_27_FastText_historicalVAD.tsv,0.7695,0.0,0.5914,0.0001,0.578,0.0001,0.6463
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_28_FastText_historicalVAD.tsv,0.7642,0.0,0.541,0.0005,0.5538,0.0003,0.6196
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_29_FastText_historicalVAD.tsv,0.7582,0.0,0.5722,0.0002,0.5549,0.0003,0.6284
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_2_FastText_historicalVAD.tsv,0.7564,0.0,0.5524,0.0003,0.5607,0.0003,0.6232
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_30_FastText_historicalVAD.tsv,0.7694,0.0,0.5431,0.0004,0.5423,0.0004,0.6183
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_31_FastText_historicalVAD.tsv,0.7638,0.0,0.5548,0.0003,0.5538,0.0003,0.6241
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_32_FastText_historicalVAD.tsv,0.7596,0.0,0.5554,0.0003,0.5709,0.0002,0.6286
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_33_FastText_historicalVAD.tsv,0.7485,0.0,0.5748,0.0002,0.5528,0.0003,0.6254
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_34_FastText_historicalVAD.tsv,0.756,0.0,0.5778,0.0001,0.5755,0.0002,0.6364
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_35_FastText_historicalVAD.tsv,0.7669,0.0,0.58,0.0001,0.579,0.0001,0.642
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_36_FastText_historicalVAD.tsv,0.7577,0.0,0.5831,0.0001,0.536,0.0005,0.6256
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_37_FastText_historicalVAD.tsv,0.7406,0.0,0.543,0.0004,0.5464,0.0004,0.61
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_38_FastText_historicalVAD.tsv,0.7568,0.0,0.5645,0.0002,0.5923,0.0001,0.6379
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_39_FastText_historicalVAD.tsv,0.7707,0.0,0.5585,0.0003,0.5533,0.0003,0.6275
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_3_FastText_historicalVAD.tsv,0.7458,0.0,0.5698,0.0002,0.5482,0.0004,0.6212
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_40_FastText_historicalVAD.tsv,0.7514,0.0,0.5587,0.0003,0.5266,0.0007,0.6122
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_41_FastText_historicalVAD.tsv,0.7615,0.0,0.614,0.0,0.5659,0.0002,0.6472
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_42_FastText_historicalVAD.tsv,0.7736,0.0,0.5907,0.0001,0.5832,0.0001,0.6492
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_43_FastText_historicalVAD.tsv,0.7411,0.0,0.5345,0.0005,0.5572,0.0003,0.6109
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_44_FastText_historicalVAD.tsv,0.7623,0.0,0.579,0.0001,0.5646,0.0002,0.6353
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_45_FastText_historicalVAD.tsv,0.7306,0.0,0.5749,0.0002,0.5392,0.0005,0.6149
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_46_FastText_historicalVAD.tsv,0.7615,0.0,0.6092,0.0,0.5703,0.0002,0.647
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_47_FastText_historicalVAD.tsv,0.7518,0.0,0.551,0.0003,0.5698,0.0002,0.6242
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_48_FastText_historicalVAD.tsv,0.7361,0.0,0.5433,0.0004,0.5309,0.0006,0.6034
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_49_FastText_historicalVAD.tsv,0.7418,0.0,0.5507,0.0003,0.5376,0.0005,0.61
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_4_FastText_historicalVAD.tsv,0.7297,0.0,0.5929,0.0001,0.5291,0.0006,0.6173
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_50_FastText_historicalVAD.tsv,0.7462,0.0,0.5609,0.0002,0.5361,0.0005,0.6144
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_5_FastText_historicalVAD.tsv,0.739,0.0,0.5834,0.0001,0.5488,0.0004,0.6237
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_6_FastText_historicalVAD.tsv,0.7573,0.0,0.5593,0.0003,0.5444,0.0004,0.6203
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_7_FastText_historicalVAD.tsv,0.743,0.0,0.5737,0.0002,0.5501,0.0003,0.6223
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_8_FastText_historicalVAD.tsv,0.7384,0.0,0.5673,0.0002,0.5445,0.0004,0.6167
HistoricalVAD\FastText_kNN\Warriner8000\Warriner_8000_9_FastText_historicalVAD.tsv,0.7603,0.0,0.5589,0.0003,0.5764,0.0002,0.6319
Mean,0.752918,0.0,0.567758,0.00023200000000000006,0.554558,0.000342,0.625074
