,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,r_mean
SGNSLinearRegression10000,0.88836,0.0,0.467968,0.003082,0.5421480000000001,0.00045200000000000004,0.632816
SGNSLinearRegression02000,0.874406,0.0,0.454704,0.005166,0.500956,0.0027840000000000005,0.6100279999999999
SGNSLinearRegression03000,0.8823479999999999,0.0,0.45683,0.004880000000000001,0.515806,0.001654,0.618332
SGNSLinearRegression04000,0.8845919999999998,0.0,0.462626,0.004019999999999999,0.5180279999999999,0.0012940000000000002,0.6217440000000001
SGNSLinearRegression05000,0.885838,0.0,0.4643879999999999,0.0037,0.52785,0.0008640000000000001,0.626028
SGNSLinearRegression06000,0.8854860000000001,0.0,0.46334200000000003,0.00373,0.530182,0.00078,0.626348
SGNSLinearRegression07000,0.8861220000000002,0.0,0.466804,0.003304,0.533064,0.000668,0.6286740000000001
SGNSLinearRegression08000,0.887402,0.0,0.46685200000000004,0.003276,0.540582,0.0005300000000000001,0.6316100000000001
SGNSLinearRegression09000,0.888436,0.0,0.46754000000000007,0.003178,0.540458,0.0005020000000000001,0.632142
