,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_10_FastText_historicalVAD.tsv,0.8647,0.0,0.6531,0.0,0.7187,0.0,0.7455
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_11_FastText_historicalVAD.tsv,0.8718,0.0,0.6762,0.0,0.7507,0.0,0.7662
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_12_FastText_historicalVAD.tsv,0.8602,0.0,0.642,0.0,0.7225,0.0,0.7416
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_13_FastText_historicalVAD.tsv,0.8718,0.0,0.6633,0.0,0.728,0.0,0.7544
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_14_FastText_historicalVAD.tsv,0.8568,0.0,0.6456,0.0,0.7168,0.0,0.7397
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_15_FastText_historicalVAD.tsv,0.8661,0.0,0.6655,0.0,0.7462,0.0,0.7593
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_16_FastText_historicalVAD.tsv,0.8772,0.0,0.6761,0.0,0.7302,0.0,0.7611
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_17_FastText_historicalVAD.tsv,0.8771,0.0,0.6497,0.0,0.7764,0.0,0.7677
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_18_FastText_historicalVAD.tsv,0.8681,0.0,0.6547,0.0,0.6767,0.0,0.7332
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_19_FastText_historicalVAD.tsv,0.8685,0.0,0.665,0.0,0.7525,0.0,0.762
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_1_FastText_historicalVAD.tsv,0.8692,0.0,0.6983,0.0,0.7537,0.0,0.7737
