,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_LinearRegression\Warriner8000\Warriner_8000_10_SGNS_historicalVAD.tsv,0.8802,0.0,0.5409,0.0005,0.7854,0.0,0.7355
HistoricalVAD\SGNS_LinearRegression\Warriner8000\Warriner_8000_11_SGNS_historicalVAD.tsv,0.8832,0.0,0.5553,0.0003,0.7803,0.0,0.7396
HistoricalVAD\SGNS_LinearRegression\Warriner8000\Warriner_8000_12_SGNS_historicalVAD.tsv,0.8794,0.0,0.5602,0.0003,0.7892,0.0,0.7429
HistoricalVAD\SGNS_LinearRegression\Warriner8000\Warriner_8000_13_SGNS_historicalVAD.tsv,0.8785,0.0,0.5558,0.0003,0.7811,0.0,0.7385
HistoricalVAD\SGNS_LinearRegression\Warriner8000\Warriner_8000_14_SGNS_historicalVAD.tsv,0.8812,0.0,0.5573,0.0003,0.7858,0.0,0.7414
HistoricalVAD\SGNS_LinearRegression\Warriner8000\Warriner_8000_15_SGNS_historicalVAD.tsv,0.8829,0.0,0.5556,0.0003,0.7832,0.0,0.7406
HistoricalVAD\SGNS_LinearRegression\Warriner8000\Warriner_8000_16_SGNS_historicalVAD.tsv,0.8819,0.0,0.5531,0.0003,0.7809,0.0,0.7386
HistoricalVAD\SGNS_LinearRegression\Warriner8000\Warriner_8000_17_SGNS_historicalVAD.tsv,0.8745,0.0,0.5386,0.0005,0.7692,0.0,0.7275
HistoricalVAD\SGNS_LinearRegression\Warriner8000\Warriner_8000_18_SGNS_historicalVAD.tsv,0.88,0.0,0.5551,0.0003,0.7762,0.0,0.7371
HistoricalVAD\SGNS_LinearRegression\Warriner8000\Warriner_8000_19_SGNS_historicalVAD.tsv,0.8827,0.0,0.5689,0.0002,0.775,0.0,0.7422
HistoricalVAD\SGNS_LinearRegression\Warriner8000\Warriner_8000_1_SGNS_historicalVAD.tsv,0.8843,0.0,0.5712,0.0002,0.7816,0.0,0.7457
HistoricalVAD\SGNS_LinearRegression\Warriner8000\Warriner_8000_20_SGNS_historicalVAD.tsv,0.8838,0.0,0.5523,0.0003,0.7839,0.0,0.74
HistoricalVAD\SGNS_LinearRegression\Warriner8000\Warriner_8000_21_SGNS_historicalVAD.tsv,0.8818,0.0,0.5475,0.0004,0.7804,0.0,0.7365
HistoricalVAD\SGNS_LinearRegression\Warriner8000\Warriner_8000_22_SGNS_historicalVAD.tsv,0.8831,0.0,0.5614,0.0002,0.7836,0.0,0.7427
HistoricalVAD\SGNS_LinearRegression\Warriner8000\Warriner_8000_23_SGNS_historicalVAD.tsv,0.887,0.0,0.5429,0.0004,0.7809,0.0,0.7369
HistoricalVAD\SGNS_LinearRegression\Warriner8000\Warriner_8000_24_SGNS_historicalVAD.tsv,0.8825,0.0,0.5565,0.0003,0.7825,0.0,0.7405
HistoricalVAD\SGNS_LinearRegression\Warriner8000\Warriner_8000_25_SGNS_historicalVAD.tsv,0.8828,0.0,0.5601,0.0003,0.7848,0.0,0.7426
HistoricalVAD\SGNS_LinearRegression\Warriner8000\Warriner_8000_26_SGNS_historicalVAD.tsv,0.8817,0.0,0.5678,0.0002,0.7834,0.0,0.7443
HistoricalVAD\SGNS_LinearRegression\Warriner8000\Warriner_8000_27_SGNS_historicalVAD.tsv,0.8851,0.0,0.561,0.0002,0.7834,0.0,0.7431
