,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_10_FastText_historicalVAD.tsv,0.8747,0.0,0.6781,0.0,0.737,0.0,0.7633
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_11_FastText_historicalVAD.tsv,0.8767,0.0,0.6809,0.0,0.7377,0.0,0.7651
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_12_FastText_historicalVAD.tsv,0.8728,0.0,0.6751,0.0,0.7434,0.0,0.7638
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_13_FastText_historicalVAD.tsv,0.8694,0.0,0.6748,0.0,0.7591,0.0,0.7678
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_14_FastText_historicalVAD.tsv,0.8737,0.0,0.6576,0.0,0.7475,0.0,0.7596
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_15_FastText_historicalVAD.tsv,0.8799,0.0,0.6653,0.0,0.7493,0.0,0.7648
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_16_FastText_historicalVAD.tsv,0.8752,0.0,0.6678,0.0,0.7523,0.0,0.7651
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_17_FastText_historicalVAD.tsv,0.8778,0.0,0.6987,0.0,0.7544,0.0,0.777
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_18_FastText_historicalVAD.tsv,0.8666,0.0,0.7036,0.0,0.7552,0.0,0.7752
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_19_FastText_historicalVAD.tsv,0.8705,0.0,0.6696,0.0,0.7543,0.0,0.7648
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_1_FastText_historicalVAD.tsv,0.8715,0.0,0.6787,0.0,0.7401,0.0,0.7634
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_20_FastText_historicalVAD.tsv,0.8766,0.0,0.6763,0.0,0.745,0.0,0.766
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_21_FastText_historicalVAD.tsv,0.8763,0.0,0.6949,0.0,0.7427,0.0,0.7713
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_22_FastText_historicalVAD.tsv,0.879,0.0,0.6758,0.0,0.7334,0.0,0.7627
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_23_FastText_historicalVAD.tsv,0.8711,0.0,0.6741,0.0,0.7559,0.0,0.767
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_24_FastText_historicalVAD.tsv,0.8838,0.0,0.6601,0.0,0.748,0.0,0.764
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_25_FastText_historicalVAD.tsv,0.8744,0.0,0.6965,0.0,0.7325,0.0,0.7678
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_26_FastText_historicalVAD.tsv,0.8772,0.0,0.6748,0.0,0.7417,0.0,0.7646
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_27_FastText_historicalVAD.tsv,0.8743,0.0,0.6501,0.0,0.7366,0.0,0.7536
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_28_FastText_historicalVAD.tsv,0.8702,0.0,0.6732,0.0,0.7266,0.0,0.7566
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_29_FastText_historicalVAD.tsv,0.872,0.0,0.681,0.0,0.7029,0.0,0.752
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_2_FastText_historicalVAD.tsv,0.8707,0.0,0.6744,0.0,0.7368,0.0,0.7606
HistoricalVAD\FastText_LinearRegression\NRC_VAD8000\NRC_VAD_8000_30_FastText_historicalVAD.tsv,0.8726,0.0,0.6469,0.0,0.7324,0.0,0.7507
