,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,r_mean
SGNSPaRaSim10000,0.76741,0.0,0.53327,0.00057,0.07245,0.665606,0.45770999999999995
SGNSPaRaSim02000,0.7628480000000001,0.0,0.5286280000000001,0.000674,0.06676,0.6922820000000001,0.45274800000000004
SGNSPaRaSim03000,0.76374,0.0,0.5314,0.0006219999999999999,0.06806,0.686082,0.454404
SGNSPaRaSim04000,0.7653079999999999,0.0,0.530564,0.000624,0.070212,0.6762200000000002,0.4553620000000001
SGNSPaRaSim05000,0.7659560000000001,0.0,0.533776,0.000562,0.072546,0.6661739999999999,0.45742599999999994
SGNSPaRaSim06000,0.7657599999999998,0.0,0.532338,0.000588,0.07312400000000001,0.663142,0.457064
SGNSPaRaSim07000,0.766478,0.0,0.5340700000000002,0.0005600000000000001,0.07045,0.674542,0.45700399999999997
SGNSPaRaSim08000,0.7669760000000001,0.0,0.532506,0.000588,0.071834,0.6684739999999999,0.457106
SGNSPaRaSim09000,0.7663,0.0,0.5332640000000001,0.0005600000000000001,0.07244999999999999,0.665624,0.45734400000000003
