,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_44_FastText_historicalVAD.tsv,0.8453,0.0,0.4461,0.005,0.6548,0.0,0.6487
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_45_FastText_historicalVAD.tsv,0.829,0.0,0.4007,0.0127,0.6767,0.0,0.6355
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_46_FastText_historicalVAD.tsv,0.8528,0.0,0.5297,0.0006,0.6511,0.0,0.6779
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_47_FastText_historicalVAD.tsv,0.7862,0.0,0.3868,0.0164,0.6796,0.0,0.6176
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_48_FastText_historicalVAD.tsv,0.8758,0.0,0.4834,0.0021,0.6745,0.0,0.6779
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_49_FastText_historicalVAD.tsv,0.8383,0.0,0.5125,0.001,0.7081,0.0,0.6863
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_4_FastText_historicalVAD.tsv,0.8255,0.0,0.5051,0.0012,0.7011,0.0,0.6772
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_50_FastText_historicalVAD.tsv,0.838,0.0,0.5362,0.0005,0.7096,0.0,0.6946
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_5_FastText_historicalVAD.tsv,0.8219,0.0,0.3941,0.0143,0.6182,0.0,0.6114
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_6_FastText_historicalVAD.tsv,0.8287,0.0,0.5626,0.0002,0.7635,0.0,0.7183
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_7_FastText_historicalVAD.tsv,0.8404,0.0,0.4658,0.0032,0.5464,0.0004,0.6175
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_8_FastText_historicalVAD.tsv,0.8574,0.0,0.4863,0.002,0.7169,0.0,0.6868
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_9_FastText_historicalVAD.tsv,0.8609,0.0,0.5199,0.0008,0.7268,0.0,0.7025
Mean,0.8389220000000001,0.0,0.47092399999999995,0.005110000000000001,0.6758399999999999,1.6e-05,0.6618940000000001
