,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_10_SGNS_historicalVAD.tsv,0.7908,0.0,0.6352,0.0,0.5454,0.0003,0.6571
HistoricalVAD\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_11_SGNS_historicalVAD.tsv,0.7955,0.0,0.6384,0.0,0.5376,0.0004,0.6572
HistoricalVAD\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_12_SGNS_historicalVAD.tsv,0.7816,0.0,0.6302,0.0,0.539,0.0004,0.6503
HistoricalVAD\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_13_SGNS_historicalVAD.tsv,0.775,0.0,0.6336,0.0,0.5407,0.0004,0.6498
HistoricalVAD\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_14_SGNS_historicalVAD.tsv,0.7782,0.0,0.6334,0.0,0.5363,0.0004,0.6493
HistoricalVAD\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_15_SGNS_historicalVAD.tsv,0.782,0.0,0.6289,0.0,0.5294,0.0005,0.6468
HistoricalVAD\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_16_SGNS_historicalVAD.tsv,0.7947,0.0,0.6333,0.0,0.5399,0.0004,0.656
HistoricalVAD\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_17_SGNS_historicalVAD.tsv,0.7869,0.0,0.6374,0.0,0.5414,0.0004,0.6553
HistoricalVAD\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_18_SGNS_historicalVAD.tsv,0.7882,0.0,0.6347,0.0,0.5325,0.0005,0.6518
HistoricalVAD\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_19_SGNS_historicalVAD.tsv,0.7826,0.0,0.6356,0.0,0.5441,0.0003,0.6541
