,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_10_SGNS_historicalVAD.tsv,0.8861,0.0,0.5282,0.0007,0.7835,0.0,0.7326
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_11_SGNS_historicalVAD.tsv,0.8771,0.0,0.5747,0.0002,0.7707,0.0,0.7409
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_12_SGNS_historicalVAD.tsv,0.8734,0.0,0.5481,0.0004,0.782,0.0,0.7345
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_13_SGNS_historicalVAD.tsv,0.8909,0.0,0.5157,0.0009,0.7892,0.0,0.7319
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_14_SGNS_historicalVAD.tsv,0.8831,0.0,0.5229,0.0008,0.7628,0.0,0.7229
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_15_SGNS_historicalVAD.tsv,0.868,0.0,0.5726,0.0002,0.77,0.0,0.7369
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_16_SGNS_historicalVAD.tsv,0.8798,0.0,0.5397,0.0005,0.7745,0.0,0.7313
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_17_SGNS_historicalVAD.tsv,0.8851,0.0,0.5643,0.0002,0.799,0.0,0.7495
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_18_SGNS_historicalVAD.tsv,0.8799,0.0,0.5155,0.0009,0.759,0.0,0.7181
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_19_SGNS_historicalVAD.tsv,0.8749,0.0,0.517,0.0009,0.7832,0.0,0.725
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_1_SGNS_historicalVAD.tsv,0.8883,0.0,0.5366,0.0005,0.7762,0.0,0.7337
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_20_SGNS_historicalVAD.tsv,0.8789,0.0,0.5238,0.0007,0.787,0.0,0.7299
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_21_SGNS_historicalVAD.tsv,0.8826,0.0,0.5614,0.0002,0.7841,0.0,0.7427
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_22_SGNS_historicalVAD.tsv,0.8934,0.0,0.5269,0.0007,0.8056,0.0,0.7419
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_23_SGNS_historicalVAD.tsv,0.8925,0.0,0.5493,0.0004,0.7694,0.0,0.7371
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_24_SGNS_historicalVAD.tsv,0.8641,0.0,0.5198,0.0008,0.7633,0.0,0.7157
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_25_SGNS_historicalVAD.tsv,0.8739,0.0,0.5349,0.0005,0.7608,0.0,0.7232
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_26_SGNS_historicalVAD.tsv,0.8762,0.0,0.5461,0.0004,0.7827,0.0,0.735
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_27_SGNS_historicalVAD.tsv,0.867,0.0,0.5861,0.0001,0.7695,0.0,0.7409
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_28_SGNS_historicalVAD.tsv,0.872,0.0,0.5351,0.0005,0.7698,0.0,0.7256
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_29_SGNS_historicalVAD.tsv,0.874,0.0,0.5804,0.0001,0.7611,0.0,0.7385
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_2_SGNS_historicalVAD.tsv,0.876,0.0,0.5212,0.0008,0.7803,0.0,0.7258
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_30_SGNS_historicalVAD.tsv,0.8894,0.0,0.5512,0.0003,0.7813,0.0,0.7406
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_31_SGNS_historicalVAD.tsv,0.8772,0.0,0.5332,0.0006,0.7775,0.0,0.7293
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_32_SGNS_historicalVAD.tsv,0.8683,0.0,0.534,0.0006,0.7753,0.0,0.7259
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_33_SGNS_historicalVAD.tsv,0.8801,0.0,0.5372,0.0005,0.775,0.0,0.7308
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_34_SGNS_historicalVAD.tsv,0.8745,0.0,0.5611,0.0002,0.7839,0.0,0.7398
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_35_SGNS_historicalVAD.tsv,0.8872,0.0,0.5789,0.0001,0.7918,0.0,0.7526
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_36_SGNS_historicalVAD.tsv,0.8853,0.0,0.5727,0.0002,0.7674,0.0,0.7418
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_37_SGNS_historicalVAD.tsv,0.8789,0.0,0.511,0.001,0.7724,0.0,0.7208
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_38_SGNS_historicalVAD.tsv,0.8784,0.0,0.5309,0.0006,0.7903,0.0,0.7332
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_39_SGNS_historicalVAD.tsv,0.8916,0.0,0.5387,0.0005,0.7874,0.0,0.7392
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_3_SGNS_historicalVAD.tsv,0.8829,0.0,0.5405,0.0005,0.7787,0.0,0.7341
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_40_SGNS_historicalVAD.tsv,0.8868,0.0,0.5607,0.0003,0.7953,0.0,0.7476
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_41_SGNS_historicalVAD.tsv,0.8816,0.0,0.4965,0.0015,0.7881,0.0,0.7221
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_42_SGNS_historicalVAD.tsv,0.8727,0.0,0.5181,0.0009,0.7762,0.0,0.7224
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_43_SGNS_historicalVAD.tsv,0.8802,0.0,0.5986,0.0001,0.7761,0.0,0.7516
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_44_SGNS_historicalVAD.tsv,0.8889,0.0,0.5461,0.0004,0.7633,0.0,0.7328
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_45_SGNS_historicalVAD.tsv,0.8855,0.0,0.5395,0.0005,0.7776,0.0,0.7342
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_46_SGNS_historicalVAD.tsv,0.8902,0.0,0.5349,0.0005,0.7906,0.0,0.7386
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_47_SGNS_historicalVAD.tsv,0.8673,0.0,0.5556,0.0003,0.7588,0.0,0.7272
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_48_SGNS_historicalVAD.tsv,0.8764,0.0,0.5044,0.0012,0.795,0.0,0.7253
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_49_SGNS_historicalVAD.tsv,0.8784,0.0,0.5247,0.0007,0.7949,0.0,0.7327
