,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_10_SGNS_historicalVAD.tsv,0.8904,0.0,0.6551,0.0,0.762,0.0,0.7692
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_11_SGNS_historicalVAD.tsv,0.8915,0.0,0.6548,0.0,0.7556,0.0,0.7673
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_12_SGNS_historicalVAD.tsv,0.8887,0.0,0.6475,0.0,0.7521,0.0,0.7628
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_13_SGNS_historicalVAD.tsv,0.8946,0.0,0.6598,0.0,0.7615,0.0,0.772
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_14_SGNS_historicalVAD.tsv,0.8855,0.0,0.6477,0.0,0.7515,0.0,0.7616
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_15_SGNS_historicalVAD.tsv,0.8785,0.0,0.6499,0.0,0.7616,0.0,0.7634
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_16_SGNS_historicalVAD.tsv,0.8908,0.0,0.6655,0.0,0.7505,0.0,0.769
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_17_SGNS_historicalVAD.tsv,0.8916,0.0,0.6285,0.0,0.7336,0.0,0.7512
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_18_SGNS_historicalVAD.tsv,0.8805,0.0,0.65,0.0,0.7583,0.0,0.7629
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_19_SGNS_historicalVAD.tsv,0.8918,0.0,0.6449,0.0,0.772,0.0,0.7696
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_1_SGNS_historicalVAD.tsv,0.8897,0.0,0.6495,0.0,0.74,0.0,0.7597
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_20_SGNS_historicalVAD.tsv,0.8849,0.0,0.6761,0.0,0.7479,0.0,0.7696
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_21_SGNS_historicalVAD.tsv,0.8818,0.0,0.6336,0.0,0.7249,0.0,0.7468
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_22_SGNS_historicalVAD.tsv,0.8875,0.0,0.6623,0.0,0.7578,0.0,0.7692
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_23_SGNS_historicalVAD.tsv,0.8887,0.0,0.6481,0.0,0.7506,0.0,0.7625
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_24_SGNS_historicalVAD.tsv,0.8909,0.0,0.6359,0.0,0.7465,0.0,0.7578
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_25_SGNS_historicalVAD.tsv,0.8823,0.0,0.6528,0.0,0.7543,0.0,0.7631
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_26_SGNS_historicalVAD.tsv,0.8914,0.0,0.6537,0.0,0.7409,0.0,0.762
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_27_SGNS_historicalVAD.tsv,0.8842,0.0,0.6547,0.0,0.7464,0.0,0.7618
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_28_SGNS_historicalVAD.tsv,0.8908,0.0,0.667,0.0,0.7466,0.0,0.7681
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_29_SGNS_historicalVAD.tsv,0.8861,0.0,0.6668,0.0,0.7475,0.0,0.7668
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_2_SGNS_historicalVAD.tsv,0.8927,0.0,0.6481,0.0,0.7574,0.0,0.7661
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_30_SGNS_historicalVAD.tsv,0.8791,0.0,0.6684,0.0,0.7667,0.0,0.7714
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_31_SGNS_historicalVAD.tsv,0.8817,0.0,0.6546,0.0,0.746,0.0,0.7608
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_32_SGNS_historicalVAD.tsv,0.8829,0.0,0.6483,0.0,0.7564,0.0,0.7626
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_33_SGNS_historicalVAD.tsv,0.8834,0.0,0.6532,0.0,0.7295,0.0,0.7554
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_34_SGNS_historicalVAD.tsv,0.8904,0.0,0.6587,0.0,0.7468,0.0,0.7653
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_35_SGNS_historicalVAD.tsv,0.8885,0.0,0.6471,0.0,0.7379,0.0,0.7579
HistoricalVAD\SGNS_LinearRegression\NRC_VAD9000\NRC_VAD_9000_36_SGNS_historicalVAD.tsv,0.8909,0.0,0.671,0.0,0.7738,0.0,0.7785
