,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_43_SGNS_historicalVAD.tsv,0.8743,0.0,0.5737,0.0002,0.7481,0.0,0.732
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_44_SGNS_historicalVAD.tsv,0.8695,0.0,0.5482,0.0004,0.7803,0.0,0.7327
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_45_SGNS_historicalVAD.tsv,0.8873,0.0,0.5445,0.0004,0.7822,0.0,0.738
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_46_SGNS_historicalVAD.tsv,0.8915,0.0,0.5351,0.0005,0.7921,0.0,0.7396
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_47_SGNS_historicalVAD.tsv,0.8867,0.0,0.553,0.0003,0.789,0.0,0.7429
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_48_SGNS_historicalVAD.tsv,0.8641,0.0,0.5899,0.0001,0.7753,0.0,0.7431
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_49_SGNS_historicalVAD.tsv,0.8583,0.0,0.561,0.0002,0.7604,0.0,0.7266
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_4_SGNS_historicalVAD.tsv,0.8732,0.0,0.5477,0.0004,0.7921,0.0,0.7376
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_50_SGNS_historicalVAD.tsv,0.8556,0.0,0.5557,0.0003,0.7479,0.0,0.7198
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_5_SGNS_historicalVAD.tsv,0.8923,0.0,0.5093,0.0011,0.7846,0.0,0.7287
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_6_SGNS_historicalVAD.tsv,0.8738,0.0,0.5216,0.0008,0.7776,0.0,0.7243
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_7_SGNS_historicalVAD.tsv,0.8826,0.0,0.5259,0.0007,0.7701,0.0,0.7262
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_8_SGNS_historicalVAD.tsv,0.8775,0.0,0.5279,0.0007,0.7779,0.0,0.7278
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_9_SGNS_historicalVAD.tsv,0.8854,0.0,0.533,0.0006,0.7596,0.0,0.726
Mean,0.8797019999999999,0.0,0.5344019999999999,0.000718,0.7719280000000001,0.0,0.728672
