,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,r_mean
SGNSLinearRegression2000,0.868588,0.0,0.6171479999999999,6.8e-05,0.546644,0.00046199999999999995,0.6774640000000001
SGNSLinearRegression3000,0.8721479999999999,0.0,0.6393080000000001,1.6e-05,0.556426,0.000316,0.689294
SGNSLinearRegression4000,0.869764,0.0,0.646096,4e-06,0.5548960000000001,0.00031800000000000003,0.690256
SGNSLinearRegression5000,0.8721799999999998,0.0,0.652594,2e-06,0.5612,0.000234,0.695318
SGNSLinearRegression6000,0.871576,0.0,0.653838,2e-06,0.563236,0.00020400000000000003,0.6962279999999998
SGNSLinearRegression7000,0.8711279999999999,0.0,0.6586059999999999,0.0,0.5629900000000001,0.0002,0.6975720000000001
SGNSLinearRegression8000,0.8708940000000002,0.0,0.6626620000000001,0.0,0.565038,0.000192,0.69953
