,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_LinearRegression\Warriner4000\Warriner_4000_10_FastText_historicalVAD.tsv,0.8815,0.0,0.5467,0.0004,0.6913,0.0,0.7065
HistoricalVAD\FastText_LinearRegression\Warriner4000\Warriner_4000_11_FastText_historicalVAD.tsv,0.8617,0.0,0.4882,0.0019,0.6915,0.0,0.6805
HistoricalVAD\FastText_LinearRegression\Warriner4000\Warriner_4000_12_FastText_historicalVAD.tsv,0.8652,0.0,0.5049,0.0012,0.7055,0.0,0.6919
HistoricalVAD\FastText_LinearRegression\Warriner4000\Warriner_4000_13_FastText_historicalVAD.tsv,0.8883,0.0,0.4948,0.0016,0.758,0.0,0.7137
HistoricalVAD\FastText_LinearRegression\Warriner4000\Warriner_4000_14_FastText_historicalVAD.tsv,0.8824,0.0,0.512,0.001,0.7056,0.0,0.7
HistoricalVAD\FastText_LinearRegression\Warriner4000\Warriner_4000_15_FastText_historicalVAD.tsv,0.8804,0.0,0.5456,0.0004,0.7003,0.0,0.7088
HistoricalVAD\FastText_LinearRegression\Warriner4000\Warriner_4000_16_FastText_historicalVAD.tsv,0.8526,0.0,0.5334,0.0006,0.7098,0.0,0.6986
HistoricalVAD\FastText_LinearRegression\Warriner4000\Warriner_4000_17_FastText_historicalVAD.tsv,0.8591,0.0,0.5007,0.0014,0.7223,0.0,0.694
HistoricalVAD\FastText_LinearRegression\Warriner4000\Warriner_4000_18_FastText_historicalVAD.tsv,0.8547,0.0,0.4066,0.0113,0.7124,0.0,0.6579
HistoricalVAD\FastText_LinearRegression\Warriner4000\Warriner_4000_19_FastText_historicalVAD.tsv,0.8716,0.0,0.5268,0.0007,0.7334,0.0,0.7106
HistoricalVAD\FastText_LinearRegression\Warriner4000\Warriner_4000_1_FastText_historicalVAD.tsv,0.8717,0.0,0.5422,0.0004,0.6693,0.0,0.6944
HistoricalVAD\FastText_LinearRegression\Warriner4000\Warriner_4000_20_FastText_historicalVAD.tsv,0.8615,0.0,0.5453,0.0004,0.6999,0.0,0.7022
HistoricalVAD\FastText_LinearRegression\Warriner4000\Warriner_4000_21_FastText_historicalVAD.tsv,0.8609,0.0,0.4908,0.0018,0.69,0.0,0.6805
HistoricalVAD\FastText_LinearRegression\Warriner4000\Warriner_4000_22_FastText_historicalVAD.tsv,0.8511,0.0,0.478,0.0024,0.675,0.0,0.668
HistoricalVAD\FastText_LinearRegression\Warriner4000\Warriner_4000_23_FastText_historicalVAD.tsv,0.8801,0.0,0.5959,0.0001,0.7296,0.0,0.7352
HistoricalVAD\FastText_LinearRegression\Warriner4000\Warriner_4000_24_FastText_historicalVAD.tsv,0.8852,0.0,0.4953,0.0016,0.7546,0.0,0.7117
HistoricalVAD\FastText_LinearRegression\Warriner4000\Warriner_4000_25_FastText_historicalVAD.tsv,0.8626,0.0,0.4867,0.0019,0.7398,0.0,0.6964
HistoricalVAD\FastText_LinearRegression\Warriner4000\Warriner_4000_26_FastText_historicalVAD.tsv,0.8443,0.0,0.5313,0.0006,0.6956,0.0,0.6904
HistoricalVAD\FastText_LinearRegression\Warriner4000\Warriner_4000_27_FastText_historicalVAD.tsv,0.8647,0.0,0.5264,0.0007,0.7396,0.0,0.7102
