,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_41_SGNS_historicalVAD.tsv,0.7857,0.0,0.6301,0.0,0.5344,0.0005,0.6501
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_42_SGNS_historicalVAD.tsv,0.7887,0.0,0.6305,0.0,0.5392,0.0004,0.6528
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_43_SGNS_historicalVAD.tsv,0.7883,0.0,0.6291,0.0,0.5378,0.0004,0.6517
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_44_SGNS_historicalVAD.tsv,0.7854,0.0,0.6291,0.0,0.5386,0.0004,0.6511
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_45_SGNS_historicalVAD.tsv,0.7863,0.0,0.6289,0.0,0.5384,0.0004,0.6512
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_46_SGNS_historicalVAD.tsv,0.7856,0.0,0.6283,0.0,0.535,0.0004,0.6496
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_47_SGNS_historicalVAD.tsv,0.7857,0.0,0.6336,0.0,0.5377,0.0004,0.6524
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_48_SGNS_historicalVAD.tsv,0.7883,0.0,0.6345,0.0,0.5306,0.0005,0.6511
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_49_SGNS_historicalVAD.tsv,0.7889,0.0,0.6299,0.0,0.5298,0.0005,0.6495
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_4_SGNS_historicalVAD.tsv,0.7882,0.0,0.6282,0.0,0.5383,0.0004,0.6516
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_50_SGNS_historicalVAD.tsv,0.7871,0.0,0.6309,0.0,0.5372,0.0004,0.6518
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_5_SGNS_historicalVAD.tsv,0.7872,0.0,0.6319,0.0,0.5401,0.0004,0.6531
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_6_SGNS_historicalVAD.tsv,0.7863,0.0,0.6311,0.0,0.5363,0.0004,0.6513
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_7_SGNS_historicalVAD.tsv,0.7874,0.0,0.6336,0.0,0.5404,0.0004,0.6538
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_8_SGNS_historicalVAD.tsv,0.7866,0.0,0.6327,0.0,0.5369,0.0004,0.6521
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_9_SGNS_historicalVAD.tsv,0.7866,0.0,0.6316,0.0,0.538,0.0004,0.652
Mean,0.7857759999999999,0.0,0.631586,0.0,0.534708,0.0004540000000000001,0.650698
