,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_42_SGNS_historicalVAD.tsv,0.7688,0.0,0.5324,0.0006,0.0712,0.671,0.4574
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_43_SGNS_historicalVAD.tsv,0.7652,0.0,0.5266,0.0007,0.0742,0.658,0.4553
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_44_SGNS_historicalVAD.tsv,0.7682,0.0,0.5226,0.0008,0.0645,0.7007,0.4517
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_45_SGNS_historicalVAD.tsv,0.7739,0.0,0.5322,0.0006,0.0636,0.7047,0.4566
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_46_SGNS_historicalVAD.tsv,0.7679,0.0,0.5259,0.0007,0.0724,0.6658,0.4554
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_47_SGNS_historicalVAD.tsv,0.7691,0.0,0.53,0.0006,0.0634,0.7055,0.4542
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_48_SGNS_historicalVAD.tsv,0.7695,0.0,0.5268,0.0007,0.0778,0.6425,0.458
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_49_SGNS_historicalVAD.tsv,0.7705,0.0,0.5355,0.0005,0.0755,0.6525,0.4605
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_4_SGNS_historicalVAD.tsv,0.7584,0.0,0.5316,0.0006,0.0764,0.6487,0.4555
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_50_SGNS_historicalVAD.tsv,0.7629,0.0,0.5327,0.0006,0.0689,0.6809,0.4549
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_5_SGNS_historicalVAD.tsv,0.7586,0.0,0.5306,0.0006,0.0643,0.7011,0.4512
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_6_SGNS_historicalVAD.tsv,0.7676,0.0,0.5332,0.0006,0.0778,0.6423,0.4596
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_7_SGNS_historicalVAD.tsv,0.759,0.0,0.5328,0.0006,0.0709,0.6722,0.4542
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_8_SGNS_historicalVAD.tsv,0.766,0.0,0.5365,0.0005,0.0668,0.6902,0.4564
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_9_SGNS_historicalVAD.tsv,0.767,0.0,0.5303,0.0006,0.0725,0.6654,0.4566
Mean,0.7669760000000001,0.0,0.532506,0.000588,0.071834,0.6684739999999999,0.457106
