,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\SGNS_LinearRegression\Warriner5000\Warriner_5000_10_SGNS_historicalVAD.tsv,0.8679,0.0,0.6613,0.0,0.5592,0.0002,0.6961
stable_words\SGNS_LinearRegression\Warriner5000\Warriner_5000_11_SGNS_historicalVAD.tsv,0.8587,0.0,0.6847,0.0,0.5699,0.0002,0.7044
stable_words\SGNS_LinearRegression\Warriner5000\Warriner_5000_12_SGNS_historicalVAD.tsv,0.8822,0.0,0.6768,0.0,0.5254,0.0006,0.6948
stable_words\SGNS_LinearRegression\Warriner5000\Warriner_5000_13_SGNS_historicalVAD.tsv,0.8798,0.0,0.6368,0.0,0.5883,0.0001,0.7016
stable_words\SGNS_LinearRegression\Warriner5000\Warriner_5000_14_SGNS_historicalVAD.tsv,0.8681,0.0,0.6515,0.0,0.5504,0.0003,0.69
stable_words\SGNS_LinearRegression\Warriner5000\Warriner_5000_15_SGNS_historicalVAD.tsv,0.8586,0.0,0.662,0.0,0.5553,0.0002,0.6919
stable_words\SGNS_LinearRegression\Warriner5000\Warriner_5000_16_SGNS_historicalVAD.tsv,0.8752,0.0,0.637,0.0,0.5808,0.0001,0.6977
stable_words\SGNS_LinearRegression\Warriner5000\Warriner_5000_17_SGNS_historicalVAD.tsv,0.8763,0.0,0.6615,0.0,0.5703,0.0002,0.7027
stable_words\SGNS_LinearRegression\Warriner5000\Warriner_5000_18_SGNS_historicalVAD.tsv,0.8716,0.0,0.6104,0.0,0.5439,0.0003,0.6753
stable_words\SGNS_LinearRegression\Warriner5000\Warriner_5000_19_SGNS_historicalVAD.tsv,0.873,0.0,0.6668,0.0,0.5615,0.0002,0.7004
stable_words\SGNS_LinearRegression\Warriner5000\Warriner_5000_1_SGNS_historicalVAD.tsv,0.8782,0.0,0.6557,0.0,0.5699,0.0002,0.7013
stable_words\SGNS_LinearRegression\Warriner5000\Warriner_5000_20_SGNS_historicalVAD.tsv,0.876,0.0,0.6336,0.0,0.5755,0.0001,0.695
stable_words\SGNS_LinearRegression\Warriner5000\Warriner_5000_21_SGNS_historicalVAD.tsv,0.8727,0.0,0.6634,0.0,0.5535,0.0003,0.6965
stable_words\SGNS_LinearRegression\Warriner5000\Warriner_5000_22_SGNS_historicalVAD.tsv,0.8814,0.0,0.6323,0.0,0.5537,0.0003,0.6891
stable_words\SGNS_LinearRegression\Warriner5000\Warriner_5000_23_SGNS_historicalVAD.tsv,0.8829,0.0,0.6593,0.0,0.5841,0.0001,0.7087
stable_words\SGNS_LinearRegression\Warriner5000\Warriner_5000_24_SGNS_historicalVAD.tsv,0.8647,0.0,0.5841,0.0001,0.5844,0.0001,0.6777
