,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\SGNS_PaRaSim\NRC_VAD4000\NRC_VAD_4000_10_SGNS_historicalVAD.tsv,0.7581,0.0,0.5429,0.0004,0.0643,0.7014,0.4551
stable_words\SGNS_PaRaSim\NRC_VAD4000\NRC_VAD_4000_11_SGNS_historicalVAD.tsv,0.7497,0.0,0.5391,0.0005,0.0672,0.6887,0.452
stable_words\SGNS_PaRaSim\NRC_VAD4000\NRC_VAD_4000_12_SGNS_historicalVAD.tsv,0.7746,0.0,0.5339,0.0006,0.08,0.6328,0.4629
stable_words\SGNS_PaRaSim\NRC_VAD4000\NRC_VAD_4000_13_SGNS_historicalVAD.tsv,0.7542,0.0,0.5307,0.0006,0.0469,0.7797,0.444
stable_words\SGNS_PaRaSim\NRC_VAD4000\NRC_VAD_4000_14_SGNS_historicalVAD.tsv,0.7665,0.0,0.5192,0.0008,0.0791,0.6369,0.455
stable_words\SGNS_PaRaSim\NRC_VAD4000\NRC_VAD_4000_15_SGNS_historicalVAD.tsv,0.7626,0.0,0.5247,0.0007,0.0683,0.6838,0.4518
stable_words\SGNS_PaRaSim\NRC_VAD4000\NRC_VAD_4000_16_SGNS_historicalVAD.tsv,0.7714,0.0,0.52,0.0008,0.0629,0.7073,0.4515
stable_words\SGNS_PaRaSim\NRC_VAD4000\NRC_VAD_4000_17_SGNS_historicalVAD.tsv,0.7686,0.0,0.5518,0.0003,0.0822,0.6236,0.4675
stable_words\SGNS_PaRaSim\NRC_VAD4000\NRC_VAD_4000_18_SGNS_historicalVAD.tsv,0.7769,0.0,0.523,0.0008,0.0576,0.7311,0.4525
stable_words\SGNS_PaRaSim\NRC_VAD4000\NRC_VAD_4000_19_SGNS_historicalVAD.tsv,0.7684,0.0,0.5323,0.0006,0.0731,0.6625,0.458
stable_words\SGNS_PaRaSim\NRC_VAD4000\NRC_VAD_4000_1_SGNS_historicalVAD.tsv,0.7656,0.0,0.5357,0.0005,0.0575,0.7317,0.4529
stable_words\SGNS_PaRaSim\NRC_VAD4000\NRC_VAD_4000_20_SGNS_historicalVAD.tsv,0.7702,0.0,0.5303,0.0006,0.0485,0.7727,0.4497
stable_words\SGNS_PaRaSim\NRC_VAD4000\NRC_VAD_4000_21_SGNS_historicalVAD.tsv,0.7557,0.0,0.5365,0.0005,0.0426,0.7993,0.445
stable_words\SGNS_PaRaSim\NRC_VAD4000\NRC_VAD_4000_22_SGNS_historicalVAD.tsv,0.7622,0.0,0.5237,0.0007,0.0731,0.6629,0.453
stable_words\SGNS_PaRaSim\NRC_VAD4000\NRC_VAD_4000_23_SGNS_historicalVAD.tsv,0.7778,0.0,0.526,0.0007,0.0851,0.6113,0.463
stable_words\SGNS_PaRaSim\NRC_VAD4000\NRC_VAD_4000_24_SGNS_historicalVAD.tsv,0.7761,0.0,0.5142,0.001,0.0838,0.6167,0.458
stable_words\SGNS_PaRaSim\NRC_VAD4000\NRC_VAD_4000_25_SGNS_historicalVAD.tsv,0.7736,0.0,0.536,0.0005,0.0681,0.6847,0.4592
stable_words\SGNS_PaRaSim\NRC_VAD4000\NRC_VAD_4000_26_SGNS_historicalVAD.tsv,0.7564,0.0,0.5308,0.0006,0.0887,0.5964,0.4586
