,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_10_FastText_historicalVAD.tsv,0.8188,0.0,0.4626,0.0034,0.2892,0.0782,0.5236
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_11_FastText_historicalVAD.tsv,0.8707,0.0,0.4683,0.003,0.5068,0.0012,0.6153
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_12_FastText_historicalVAD.tsv,0.8627,0.0,0.4554,0.0041,0.4091,0.0108,0.5757
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_13_FastText_historicalVAD.tsv,0.8351,0.0,0.4414,0.0055,0.333,0.041,0.5365
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_14_FastText_historicalVAD.tsv,0.8635,0.0,0.4521,0.0044,0.457,0.0039,0.5909
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_15_FastText_historicalVAD.tsv,0.8521,0.0,0.4734,0.0027,0.3499,0.0313,0.5585
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_16_FastText_historicalVAD.tsv,0.876,0.0,0.4479,0.0048,0.4058,0.0115,0.5765
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_17_FastText_historicalVAD.tsv,0.845,0.0,0.4559,0.004,0.3654,0.0241,0.5554
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_18_FastText_historicalVAD.tsv,0.8775,0.0,0.4824,0.0022,0.4061,0.0114,0.5887
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_19_FastText_historicalVAD.tsv,0.8586,0.0,0.4482,0.0048,0.348,0.0323,0.5516
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_1_FastText_historicalVAD.tsv,0.8764,0.0,0.5087,0.0011,0.4346,0.0064,0.6066
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_20_FastText_historicalVAD.tsv,0.8558,0.0,0.4506,0.0045,0.443,0.0054,0.5831
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_21_FastText_historicalVAD.tsv,0.8704,0.0,0.5039,0.0013,0.3945,0.0143,0.5896
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_22_FastText_historicalVAD.tsv,0.8589,0.0,0.4612,0.0036,0.4386,0.0059,0.5862
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_23_FastText_historicalVAD.tsv,0.8643,0.0,0.4886,0.0019,0.4286,0.0073,0.5939
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_24_FastText_historicalVAD.tsv,0.8716,0.0,0.4029,0.0121,0.4078,0.011,0.5608
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_25_FastText_historicalVAD.tsv,0.8544,0.0,0.4893,0.0018,0.3815,0.0181,0.575
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_26_FastText_historicalVAD.tsv,0.8554,0.0,0.45,0.0046,0.4157,0.0094,0.5737
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_27_FastText_historicalVAD.tsv,0.884,0.0,0.4215,0.0084,0.4012,0.0125,0.5689
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_28_FastText_historicalVAD.tsv,0.863,0.0,0.4191,0.0088,0.3735,0.0209,0.5519
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_29_FastText_historicalVAD.tsv,0.8587,0.0,0.4823,0.0022,0.3711,0.0218,0.5707
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_2_FastText_historicalVAD.tsv,0.8438,0.0,0.4961,0.0015,0.3753,0.0202,0.5718
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_30_FastText_historicalVAD.tsv,0.8523,0.0,0.4838,0.0021,0.421,0.0085,0.5857
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_31_FastText_historicalVAD.tsv,0.8469,0.0,0.4589,0.0038,0.4103,0.0105,0.572
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_32_FastText_historicalVAD.tsv,0.8559,0.0,0.4856,0.002,0.4497,0.0046,0.5971
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_33_FastText_historicalVAD.tsv,0.8704,0.0,0.4449,0.0051,0.4167,0.0092,0.5773
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_34_FastText_historicalVAD.tsv,0.8837,0.0,0.5525,0.0003,0.3842,0.0173,0.6068
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_35_FastText_historicalVAD.tsv,0.8614,0.0,0.4464,0.005,0.4179,0.009,0.5753
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_36_FastText_historicalVAD.tsv,0.8846,0.0,0.4834,0.0021,0.4407,0.0056,0.6029
stable_words\FastText_LinearRegression\NRC_VAD4000\NRC_VAD_4000_37_FastText_historicalVAD.tsv,0.8539,0.0,0.4177,0.0091,0.3829,0.0176,0.5515
