,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_10_SGNS_historicalVAD.tsv,0.775,0.0,0.5343,0.0005,0.0798,0.634,0.463
stable_words\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_11_SGNS_historicalVAD.tsv,0.7798,0.0,0.5425,0.0004,0.0678,0.6859,0.4634
stable_words\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_12_SGNS_historicalVAD.tsv,0.7625,0.0,0.5405,0.0005,0.0765,0.6481,0.4598
stable_words\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_13_SGNS_historicalVAD.tsv,0.7569,0.0,0.5329,0.0006,0.0647,0.6996,0.4515
stable_words\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_14_SGNS_historicalVAD.tsv,0.7605,0.0,0.5286,0.0006,0.0698,0.6769,0.453
stable_words\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_15_SGNS_historicalVAD.tsv,0.7599,0.0,0.5249,0.0007,0.0662,0.6927,0.4503
stable_words\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_16_SGNS_historicalVAD.tsv,0.7761,0.0,0.5226,0.0008,0.0769,0.6462,0.4585
stable_words\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_17_SGNS_historicalVAD.tsv,0.7677,0.0,0.5331,0.0006,0.0767,0.6474,0.4591
stable_words\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_18_SGNS_historicalVAD.tsv,0.7676,0.0,0.5283,0.0007,0.0626,0.7089,0.4528
stable_words\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_19_SGNS_historicalVAD.tsv,0.7656,0.0,0.5345,0.0005,0.081,0.6287,0.4604
stable_words\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_1_SGNS_historicalVAD.tsv,0.764,0.0,0.5284,0.0006,0.0547,0.7442,0.449
stable_words\SGNS_PaRaSim\NRC_VAD6000\NRC_VAD_6000_20_SGNS_historicalVAD.tsv,0.7648,0.0,0.5346,0.0005,0.07,0.6762,0.4565
