,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\FastText_kNN\Warriner3000\Warriner_3000_10_FastText_historicalVAD.tsv,0.6905,0.0,0.8122,0.0,0.4188,0.008,0.6405
stable_words\FastText_kNN\Warriner3000\Warriner_3000_11_FastText_historicalVAD.tsv,0.6968,0.0,0.6774,0.0,0.4254,0.0069,0.5999
stable_words\FastText_kNN\Warriner3000\Warriner_3000_12_FastText_historicalVAD.tsv,0.6799,0.0,0.676,0.0,0.2844,0.0793,0.5468
stable_words\FastText_kNN\Warriner3000\Warriner_3000_13_FastText_historicalVAD.tsv,0.6031,0.0,0.6371,0.0,0.2122,0.1946,0.4841
stable_words\FastText_kNN\Warriner3000\Warriner_3000_14_FastText_historicalVAD.tsv,0.7349,0.0,0.7463,0.0,0.3216,0.0459,0.6009
stable_words\FastText_kNN\Warriner3000\Warriner_3000_15_FastText_historicalVAD.tsv,0.7237,0.0,0.6468,0.0,0.3584,0.0251,0.5763
stable_words\FastText_kNN\Warriner3000\Warriner_3000_16_FastText_historicalVAD.tsv,0.7321,0.0,0.747,0.0,0.3769,0.018,0.6186
stable_words\FastText_kNN\Warriner3000\Warriner_3000_17_FastText_historicalVAD.tsv,0.6911,0.0,0.7037,0.0,0.2643,0.104,0.553
stable_words\FastText_kNN\Warriner3000\Warriner_3000_18_FastText_historicalVAD.tsv,0.7772,0.0,0.6498,0.0,0.4691,0.0026,0.632
stable_words\FastText_kNN\Warriner3000\Warriner_3000_19_FastText_historicalVAD.tsv,0.7413,0.0,0.64,0.0,0.4148,0.0087,0.5987
stable_words\FastText_kNN\Warriner3000\Warriner_3000_1_FastText_historicalVAD.tsv,0.7471,0.0,0.5791,0.0001,0.3571,0.0257,0.5611
stable_words\FastText_kNN\Warriner3000\Warriner_3000_20_FastText_historicalVAD.tsv,0.7422,0.0,0.765,0.0,0.3536,0.0272,0.6202
stable_words\FastText_kNN\Warriner3000\Warriner_3000_21_FastText_historicalVAD.tsv,0.7324,0.0,0.6165,0.0,0.3901,0.0141,0.5797
stable_words\FastText_kNN\Warriner3000\Warriner_3000_22_FastText_historicalVAD.tsv,0.7626,0.0,0.6664,0.0,0.3869,0.015,0.6053
stable_words\FastText_kNN\Warriner3000\Warriner_3000_23_FastText_historicalVAD.tsv,0.7295,0.0,0.7061,0.0,0.3444,0.0318,0.5933
stable_words\FastText_kNN\Warriner3000\Warriner_3000_24_FastText_historicalVAD.tsv,0.7781,0.0,0.7069,0.0,0.3239,0.0443,0.603
stable_words\FastText_kNN\Warriner3000\Warriner_3000_25_FastText_historicalVAD.tsv,0.7944,0.0,0.6656,0.0,0.4656,0.0028,0.6419
stable_words\FastText_kNN\Warriner3000\Warriner_3000_26_FastText_historicalVAD.tsv,0.7534,0.0,0.544,0.0003,0.3878,0.0147,0.5618
stable_words\FastText_kNN\Warriner3000\Warriner_3000_27_FastText_historicalVAD.tsv,0.7427,0.0,0.6767,0.0,0.4383,0.0053,0.6192
stable_words\FastText_kNN\Warriner3000\Warriner_3000_28_FastText_historicalVAD.tsv,0.7105,0.0,0.673,0.0,0.3178,0.0486,0.5671
stable_words\FastText_kNN\Warriner3000\Warriner_3000_29_FastText_historicalVAD.tsv,0.7609,0.0,0.688,0.0,0.4458,0.0044,0.6316
stable_words\FastText_kNN\Warriner3000\Warriner_3000_2_FastText_historicalVAD.tsv,0.7117,0.0,0.594,0.0001,0.3288,0.041,0.5448
stable_words\FastText_kNN\Warriner3000\Warriner_3000_30_FastText_historicalVAD.tsv,0.7858,0.0,0.7019,0.0,0.4837,0.0018,0.6571
