,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\FastText_kNN\Warriner4000\Warriner_4000_10_FastText_historicalVAD.tsv,0.7425,0.0,0.7239,0.0,0.2312,0.1568,0.5659
stable_words\FastText_kNN\Warriner4000\Warriner_4000_11_FastText_historicalVAD.tsv,0.756,0.0,0.6168,0.0,0.3322,0.0388,0.5683
stable_words\FastText_kNN\Warriner4000\Warriner_4000_12_FastText_historicalVAD.tsv,0.7335,0.0,0.7135,0.0,0.3559,0.0262,0.601
stable_words\FastText_kNN\Warriner4000\Warriner_4000_13_FastText_historicalVAD.tsv,0.7524,0.0,0.6759,0.0,0.4265,0.0068,0.6183
stable_words\FastText_kNN\Warriner4000\Warriner_4000_14_FastText_historicalVAD.tsv,0.7924,0.0,0.7915,0.0,0.4116,0.0092,0.6652
stable_words\FastText_kNN\Warriner4000\Warriner_4000_15_FastText_historicalVAD.tsv,0.7216,0.0,0.6717,0.0,0.3526,0.0277,0.582
stable_words\FastText_kNN\Warriner4000\Warriner_4000_16_FastText_historicalVAD.tsv,0.7144,0.0,0.7014,0.0,0.3722,0.0196,0.596
stable_words\FastText_kNN\Warriner4000\Warriner_4000_17_FastText_historicalVAD.tsv,0.717,0.0,0.705,0.0,0.2742,0.0911,0.5654
stable_words\FastText_kNN\Warriner4000\Warriner_4000_18_FastText_historicalVAD.tsv,0.7635,0.0,0.7083,0.0,0.318,0.0485,0.5966
stable_words\FastText_kNN\Warriner4000\Warriner_4000_19_FastText_historicalVAD.tsv,0.7512,0.0,0.6298,0.0,0.4407,0.005,0.6072
stable_words\FastText_kNN\Warriner4000\Warriner_4000_1_FastText_historicalVAD.tsv,0.7588,0.0,0.6248,0.0,0.3711,0.02,0.5849
stable_words\FastText_kNN\Warriner4000\Warriner_4000_20_FastText_historicalVAD.tsv,0.7178,0.0,0.6989,0.0,0.3952,0.0128,0.604
stable_words\FastText_kNN\Warriner4000\Warriner_4000_21_FastText_historicalVAD.tsv,0.7368,0.0,0.6553,0.0,0.3965,0.0125,0.5962
stable_words\FastText_kNN\Warriner4000\Warriner_4000_22_FastText_historicalVAD.tsv,0.7348,0.0,0.6697,0.0,0.3181,0.0485,0.5742
stable_words\FastText_kNN\Warriner4000\Warriner_4000_23_FastText_historicalVAD.tsv,0.7386,0.0,0.5832,0.0001,0.3254,0.0432,0.5491
stable_words\FastText_kNN\Warriner4000\Warriner_4000_24_FastText_historicalVAD.tsv,0.7771,0.0,0.7254,0.0,0.4191,0.0079,0.6405
stable_words\FastText_kNN\Warriner4000\Warriner_4000_25_FastText_historicalVAD.tsv,0.7577,0.0,0.6042,0.0,0.3979,0.0121,0.5866
stable_words\FastText_kNN\Warriner4000\Warriner_4000_26_FastText_historicalVAD.tsv,0.7558,0.0,0.6767,0.0,0.3533,0.0274,0.5953
stable_words\FastText_kNN\Warriner4000\Warriner_4000_27_FastText_historicalVAD.tsv,0.7814,0.0,0.6826,0.0,0.3444,0.0318,0.6028
stable_words\FastText_kNN\Warriner4000\Warriner_4000_28_FastText_historicalVAD.tsv,0.6865,0.0,0.7008,0.0,0.2854,0.0782,0.5576
stable_words\FastText_kNN\Warriner4000\Warriner_4000_29_FastText_historicalVAD.tsv,0.7515,0.0,0.6259,0.0,0.408,0.0099,0.5951
stable_words\FastText_kNN\Warriner4000\Warriner_4000_2_FastText_historicalVAD.tsv,0.7645,0.0,0.6376,0.0,0.301,0.0626,0.5677
stable_words\FastText_kNN\Warriner4000\Warriner_4000_30_FastText_historicalVAD.tsv,0.7767,0.0,0.6833,0.0,0.3358,0.0366,0.5986
stable_words\FastText_kNN\Warriner4000\Warriner_4000_31_FastText_historicalVAD.tsv,0.7892,0.0,0.7468,0.0,0.4134,0.0089,0.6498
stable_words\FastText_kNN\Warriner4000\Warriner_4000_32_FastText_historicalVAD.tsv,0.7615,0.0,0.7035,0.0,0.2917,0.0716,0.5856
stable_words\FastText_kNN\Warriner4000\Warriner_4000_33_FastText_historicalVAD.tsv,0.8225,0.0,0.7322,0.0,0.3876,0.0148,0.6474
stable_words\FastText_kNN\Warriner4000\Warriner_4000_34_FastText_historicalVAD.tsv,0.731,0.0,0.6346,0.0,0.3651,0.0223,0.5769
stable_words\FastText_kNN\Warriner4000\Warriner_4000_35_FastText_historicalVAD.tsv,0.7073,0.0,0.6144,0.0,0.2898,0.0735,0.5371
stable_words\FastText_kNN\Warriner4000\Warriner_4000_36_FastText_historicalVAD.tsv,0.8132,0.0,0.7711,0.0,0.3994,0.0118,0.6612
stable_words\FastText_kNN\Warriner4000\Warriner_4000_37_FastText_historicalVAD.tsv,0.7978,0.0,0.6731,0.0,0.38,0.017,0.617
stable_words\FastText_kNN\Warriner4000\Warriner_4000_38_FastText_historicalVAD.tsv,0.7668,0.0,0.6538,0.0,0.4684,0.0026,0.6297
stable_words\FastText_kNN\Warriner4000\Warriner_4000_39_FastText_historicalVAD.tsv,0.7669,0.0,0.7138,0.0,0.4376,0.0053,0.6395
stable_words\FastText_kNN\Warriner4000\Warriner_4000_3_FastText_historicalVAD.tsv,0.6994,0.0,0.7418,0.0,0.2924,0.0708,0.5779
