,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_10_SGNS_historicalVAD.tsv,0.766,0.0,0.5366,0.0005,0.0746,0.6561,0.4591
stable_words\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_11_SGNS_historicalVAD.tsv,0.7661,0.0,0.5288,0.0006,0.0765,0.6481,0.4571
stable_words\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_12_SGNS_historicalVAD.tsv,0.7678,0.0,0.5389,0.0005,0.0746,0.6562,0.4604
stable_words\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_13_SGNS_historicalVAD.tsv,0.7643,0.0,0.5311,0.0006,0.074,0.659,0.4565
stable_words\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_14_SGNS_historicalVAD.tsv,0.77,0.0,0.5341,0.0006,0.0711,0.6714,0.4584
stable_words\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_15_SGNS_historicalVAD.tsv,0.7688,0.0,0.5347,0.0005,0.0736,0.6605,0.459
stable_words\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_16_SGNS_historicalVAD.tsv,0.7688,0.0,0.5348,0.0005,0.0686,0.6822,0.4574
stable_words\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_17_SGNS_historicalVAD.tsv,0.7687,0.0,0.5335,0.0006,0.0698,0.6771,0.4573
stable_words\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_18_SGNS_historicalVAD.tsv,0.7688,0.0,0.5283,0.0007,0.0721,0.6669,0.4564
stable_words\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_19_SGNS_historicalVAD.tsv,0.7695,0.0,0.529,0.0006,0.0729,0.6637,0.4571
stable_words\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_1_SGNS_historicalVAD.tsv,0.764,0.0,0.5336,0.0006,0.0712,0.671,0.4563
stable_words\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_20_SGNS_historicalVAD.tsv,0.7638,0.0,0.5326,0.0006,0.0752,0.6536,0.4572
stable_words\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_21_SGNS_historicalVAD.tsv,0.7693,0.0,0.5336,0.0006,0.0734,0.6613,0.4588
stable_words\SGNS_PaRaSim\NRC_VAD10000\NRC_VAD_10000_22_SGNS_historicalVAD.tsv,0.7687,0.0,0.5366,0.0005,0.0675,0.6871,0.4576
