,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_10_FastText_historicalVAD.tsv,0.8692,0.0,0.4681,0.003,0.4219,0.0083,0.5864
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_11_FastText_historicalVAD.tsv,0.8823,0.0,0.4542,0.0042,0.4474,0.0049,0.5946
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_12_FastText_historicalVAD.tsv,0.8646,0.0,0.4616,0.0035,0.4006,0.0127,0.5756
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_13_FastText_historicalVAD.tsv,0.8689,0.0,0.4588,0.0038,0.4463,0.005,0.5914
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_14_FastText_historicalVAD.tsv,0.8659,0.0,0.4399,0.0057,0.3813,0.0182,0.5624
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_15_FastText_historicalVAD.tsv,0.8707,0.0,0.4597,0.0037,0.425,0.0078,0.5851
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_16_FastText_historicalVAD.tsv,0.8771,0.0,0.4749,0.0026,0.3962,0.0138,0.5827
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_17_FastText_historicalVAD.tsv,0.8758,0.0,0.4923,0.0017,0.409,0.0108,0.5924
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_18_FastText_historicalVAD.tsv,0.8645,0.0,0.4868,0.0019,0.4474,0.0049,0.5996
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_19_FastText_historicalVAD.tsv,0.8645,0.0,0.4766,0.0025,0.433,0.0066,0.5913
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_1_FastText_historicalVAD.tsv,0.8692,0.0,0.4763,0.0025,0.4465,0.005,0.5973
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_20_FastText_historicalVAD.tsv,0.8792,0.0,0.5232,0.0008,0.3973,0.0135,0.5999
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_21_FastText_historicalVAD.tsv,0.8722,0.0,0.4535,0.0042,0.413,0.01,0.5796
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_22_FastText_historicalVAD.tsv,0.8677,0.0,0.4893,0.0018,0.403,0.0121,0.5867
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_23_FastText_historicalVAD.tsv,0.8665,0.0,0.459,0.0037,0.396,0.0139,0.5738
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_24_FastText_historicalVAD.tsv,0.8808,0.0,0.4625,0.0035,0.4067,0.0113,0.5833
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_25_FastText_historicalVAD.tsv,0.8801,0.0,0.4854,0.002,0.3953,0.014,0.5869
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_26_FastText_historicalVAD.tsv,0.8735,0.0,0.4661,0.0032,0.3866,0.0165,0.5754
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_27_FastText_historicalVAD.tsv,0.8652,0.0,0.4639,0.0034,0.3899,0.0155,0.573
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_28_FastText_historicalVAD.tsv,0.8735,0.0,0.4783,0.0024,0.4481,0.0048,0.6
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_29_FastText_historicalVAD.tsv,0.866,0.0,0.4822,0.0022,0.3907,0.0153,0.5796
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_2_FastText_historicalVAD.tsv,0.8636,0.0,0.4839,0.0021,0.4133,0.0099,0.5869
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_30_FastText_historicalVAD.tsv,0.8725,0.0,0.4357,0.0063,0.4209,0.0085,0.5763
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_31_FastText_historicalVAD.tsv,0.8674,0.0,0.4901,0.0018,0.3806,0.0184,0.5794
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_32_FastText_historicalVAD.tsv,0.8579,0.0,0.4819,0.0022,0.4179,0.009,0.5859
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_33_FastText_historicalVAD.tsv,0.8673,0.0,0.4874,0.0019,0.3886,0.0159,0.5811
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_34_FastText_historicalVAD.tsv,0.8526,0.0,0.5042,0.0012,0.3821,0.0179,0.5796
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_35_FastText_historicalVAD.tsv,0.8567,0.0,0.4732,0.0027,0.3797,0.0187,0.5699
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_36_FastText_historicalVAD.tsv,0.8607,0.0,0.4472,0.0049,0.3751,0.0203,0.561
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_37_FastText_historicalVAD.tsv,0.8645,0.0,0.4701,0.0029,0.4135,0.0099,0.5827
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_38_FastText_historicalVAD.tsv,0.8623,0.0,0.4714,0.0028,0.4065,0.0113,0.58
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_39_FastText_historicalVAD.tsv,0.8635,0.0,0.4983,0.0015,0.3829,0.0177,0.5816
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_3_FastText_historicalVAD.tsv,0.8737,0.0,0.4708,0.0029,0.4227,0.0082,0.5891
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_40_FastText_historicalVAD.tsv,0.8667,0.0,0.479,0.0023,0.4533,0.0043,0.5997
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_41_FastText_historicalVAD.tsv,0.8692,0.0,0.4736,0.0027,0.4293,0.0072,0.5907
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_42_FastText_historicalVAD.tsv,0.8713,0.0,0.5016,0.0013,0.4138,0.0098,0.5955
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_43_FastText_historicalVAD.tsv,0.8585,0.0,0.4655,0.0032,0.4016,0.0125,0.5752
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_44_FastText_historicalVAD.tsv,0.8649,0.0,0.4634,0.0034,0.4209,0.0085,0.5831
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_45_FastText_historicalVAD.tsv,0.8556,0.0,0.4921,0.0017,0.426,0.0077,0.5912
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_46_FastText_historicalVAD.tsv,0.8773,0.0,0.4989,0.0014,0.406,0.0114,0.5941
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_47_FastText_historicalVAD.tsv,0.8743,0.0,0.4699,0.0029,0.4343,0.0064,0.5928
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_48_FastText_historicalVAD.tsv,0.8709,0.0,0.4629,0.0034,0.4376,0.006,0.5905
stable_words\FastText_LinearRegression\NRC_VAD7000\NRC_VAD_7000_49_FastText_historicalVAD.tsv,0.8787,0.0,0.4742,0.0026,0.4104,0.0105,0.5878
