,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\FastText_kNN\Warriner2000\Warriner_2000_10_FastText_historicalVAD.tsv,0.7603,0.0,0.6719,0.0,0.3721,0.0197,0.6014
stable_words\FastText_kNN\Warriner2000\Warriner_2000_11_FastText_historicalVAD.tsv,0.7291,0.0,0.6401,0.0,0.4629,0.003,0.6107
stable_words\FastText_kNN\Warriner2000\Warriner_2000_12_FastText_historicalVAD.tsv,0.7352,0.0,0.7225,0.0,0.4367,0.0054,0.6314
stable_words\FastText_kNN\Warriner2000\Warriner_2000_13_FastText_historicalVAD.tsv,0.7328,0.0,0.6348,0.0,0.355,0.0266,0.5742
stable_words\FastText_kNN\Warriner2000\Warriner_2000_14_FastText_historicalVAD.tsv,0.6751,0.0,0.5912,0.0001,0.3907,0.0139,0.5523
stable_words\FastText_kNN\Warriner2000\Warriner_2000_15_FastText_historicalVAD.tsv,0.7136,0.0,0.7277,0.0,0.3564,0.026,0.5992
stable_words\FastText_kNN\Warriner2000\Warriner_2000_16_FastText_historicalVAD.tsv,0.6967,0.0,0.6612,0.0,0.5183,0.0007,0.6254
stable_words\FastText_kNN\Warriner2000\Warriner_2000_17_FastText_historicalVAD.tsv,0.7044,0.0,0.6367,0.0,0.37,0.0204,0.5704
stable_words\FastText_kNN\Warriner2000\Warriner_2000_18_FastText_historicalVAD.tsv,0.7138,0.0,0.6992,0.0,0.3066,0.0576,0.5732
stable_words\FastText_kNN\Warriner2000\Warriner_2000_19_FastText_historicalVAD.tsv,0.6901,0.0,0.6768,0.0,0.2314,0.1564,0.5327
stable_words\FastText_kNN\Warriner2000\Warriner_2000_1_FastText_historicalVAD.tsv,0.7476,0.0,0.4417,0.0049,0.3542,0.0269,0.5145
stable_words\FastText_kNN\Warriner2000\Warriner_2000_20_FastText_historicalVAD.tsv,0.58,0.0001,0.6145,0.0,0.2185,0.1814,0.471
stable_words\FastText_kNN\Warriner2000\Warriner_2000_21_FastText_historicalVAD.tsv,0.7808,0.0,0.7476,0.0,0.4943,0.0014,0.6742
stable_words\FastText_kNN\Warriner2000\Warriner_2000_22_FastText_historicalVAD.tsv,0.8374,0.0,0.6474,0.0,0.3679,0.0212,0.6176
stable_words\FastText_kNN\Warriner2000\Warriner_2000_23_FastText_historicalVAD.tsv,0.7091,0.0,0.5724,0.0001,0.4281,0.0066,0.5699
stable_words\FastText_kNN\Warriner2000\Warriner_2000_24_FastText_historicalVAD.tsv,0.7236,0.0,0.5321,0.0005,0.406,0.0103,0.5539
stable_words\FastText_kNN\Warriner2000\Warriner_2000_25_FastText_historicalVAD.tsv,0.7316,0.0,0.6254,0.0,0.3638,0.0228,0.5736
stable_words\FastText_kNN\Warriner2000\Warriner_2000_26_FastText_historicalVAD.tsv,0.6708,0.0,0.5001,0.0012,0.2584,0.1122,0.4764
stable_words\FastText_kNN\Warriner2000\Warriner_2000_27_FastText_historicalVAD.tsv,0.6224,0.0,0.6666,0.0,0.299,0.0645,0.5293
stable_words\FastText_kNN\Warriner2000\Warriner_2000_28_FastText_historicalVAD.tsv,0.7034,0.0,0.7041,0.0,0.4171,0.0082,0.6082
stable_words\FastText_kNN\Warriner2000\Warriner_2000_29_FastText_historicalVAD.tsv,0.7537,0.0,0.7323,0.0,0.3655,0.0221,0.6171
stable_words\FastText_kNN\Warriner2000\Warriner_2000_2_FastText_historicalVAD.tsv,0.673,0.0,0.4819,0.0019,0.4067,0.0102,0.5205
stable_words\FastText_kNN\Warriner2000\Warriner_2000_30_FastText_historicalVAD.tsv,0.7421,0.0,0.6896,0.0,0.4172,0.0082,0.6163
stable_words\FastText_kNN\Warriner2000\Warriner_2000_31_FastText_historicalVAD.tsv,0.7513,0.0,0.6333,0.0,0.4345,0.0057,0.6064
stable_words\FastText_kNN\Warriner2000\Warriner_2000_32_FastText_historicalVAD.tsv,0.7075,0.0,0.5558,0.0002,0.4074,0.01,0.5569
stable_words\FastText_kNN\Warriner2000\Warriner_2000_33_FastText_historicalVAD.tsv,0.7203,0.0,0.6446,0.0,0.4107,0.0094,0.5919
stable_words\FastText_kNN\Warriner2000\Warriner_2000_34_FastText_historicalVAD.tsv,0.7122,0.0,0.6033,0.0,0.4251,0.007,0.5802
stable_words\FastText_kNN\Warriner2000\Warriner_2000_35_FastText_historicalVAD.tsv,0.7428,0.0,0.7679,0.0,0.3494,0.0292,0.62
