,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_10_FastText_historicalVAD.tsv,0.871,0.0,0.5965,0.0001,0.4995,0.0012,0.6557
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_11_FastText_historicalVAD.tsv,0.868,0.0,0.6475,0.0,0.5723,0.0001,0.6959
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_12_FastText_historicalVAD.tsv,0.8697,0.0,0.6138,0.0,0.5339,0.0005,0.6725
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_13_FastText_historicalVAD.tsv,0.8491,0.0,0.5705,0.0001,0.5564,0.0002,0.6587
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_14_FastText_historicalVAD.tsv,0.8451,0.0,0.6722,0.0,0.5138,0.0008,0.677
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_15_FastText_historicalVAD.tsv,0.8457,0.0,0.6225,0.0,0.4926,0.0014,0.6536
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_16_FastText_historicalVAD.tsv,0.8391,0.0,0.6039,0.0,0.5158,0.0008,0.6529
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_17_FastText_historicalVAD.tsv,0.8505,0.0,0.5809,0.0001,0.5602,0.0002,0.6639
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_18_FastText_historicalVAD.tsv,0.836,0.0,0.6603,0.0,0.5067,0.001,0.6677
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_19_FastText_historicalVAD.tsv,0.854,0.0,0.5667,0.0002,0.5513,0.0003,0.6573
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_1_FastText_historicalVAD.tsv,0.851,0.0,0.6441,0.0,0.535,0.0004,0.6767
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_20_FastText_historicalVAD.tsv,0.8604,0.0,0.6,0.0001,0.5308,0.0005,0.6637
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_21_FastText_historicalVAD.tsv,0.859,0.0,0.6094,0.0,0.5359,0.0004,0.6681
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_22_FastText_historicalVAD.tsv,0.8512,0.0,0.6231,0.0,0.5449,0.0003,0.6731
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_23_FastText_historicalVAD.tsv,0.8515,0.0,0.6525,0.0,0.5135,0.0008,0.6725
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_24_FastText_historicalVAD.tsv,0.8489,0.0,0.5616,0.0002,0.5358,0.0004,0.6488
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_25_FastText_historicalVAD.tsv,0.8501,0.0,0.5979,0.0001,0.5333,0.0005,0.6604
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_26_FastText_historicalVAD.tsv,0.8355,0.0,0.6003,0.0001,0.5178,0.0007,0.6512
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_27_FastText_historicalVAD.tsv,0.8578,0.0,0.6165,0.0,0.5232,0.0006,0.6658
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_28_FastText_historicalVAD.tsv,0.8486,0.0,0.6623,0.0,0.5084,0.001,0.6731
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_29_FastText_historicalVAD.tsv,0.8521,0.0,0.6548,0.0,0.4784,0.0021,0.6618
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_2_FastText_historicalVAD.tsv,0.8601,0.0,0.6009,0.0001,0.5435,0.0003,0.6682
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_30_FastText_historicalVAD.tsv,0.8524,0.0,0.5532,0.0003,0.5225,0.0006,0.6427
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_31_FastText_historicalVAD.tsv,0.8399,0.0,0.5544,0.0003,0.5119,0.0009,0.6354
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_32_FastText_historicalVAD.tsv,0.8498,0.0,0.5834,0.0001,0.5038,0.0011,0.6457
stable_words\FastText_LinearRegression\Warriner5000\Warriner_5000_33_FastText_historicalVAD.tsv,0.8554,0.0,0.6097,0.0,0.5309,0.0005,0.6653
