,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_10_SGNS_historicalVAD.tsv,0.8708,0.0,0.655,0.0,0.5584,0.0002,0.6947
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_11_SGNS_historicalVAD.tsv,0.869,0.0,0.5862,0.0001,0.5783,0.0001,0.6778
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_12_SGNS_historicalVAD.tsv,0.8754,0.0,0.6283,0.0,0.5317,0.0005,0.6785
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_13_SGNS_historicalVAD.tsv,0.8746,0.0,0.7051,0.0,0.5316,0.0005,0.7038
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_14_SGNS_historicalVAD.tsv,0.8627,0.0,0.6543,0.0,0.5668,0.0002,0.6946
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_15_SGNS_historicalVAD.tsv,0.8815,0.0,0.5877,0.0001,0.5616,0.0002,0.677
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_16_SGNS_historicalVAD.tsv,0.8685,0.0,0.6779,0.0,0.6018,0.0001,0.7161
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_17_SGNS_historicalVAD.tsv,0.8737,0.0,0.6768,0.0,0.5478,0.0003,0.6995
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_18_SGNS_historicalVAD.tsv,0.8646,0.0,0.6842,0.0,0.5629,0.0002,0.7039
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_19_SGNS_historicalVAD.tsv,0.8659,0.0,0.6555,0.0,0.564,0.0002,0.6951
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_1_SGNS_historicalVAD.tsv,0.8756,0.0,0.623,0.0,0.5376,0.0004,0.6787
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_20_SGNS_historicalVAD.tsv,0.867,0.0,0.6788,0.0,0.529,0.0005,0.6916
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_21_SGNS_historicalVAD.tsv,0.8717,0.0,0.6826,0.0,0.5212,0.0007,0.6918
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_22_SGNS_historicalVAD.tsv,0.8806,0.0,0.6049,0.0,0.543,0.0004,0.6762
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_23_SGNS_historicalVAD.tsv,0.8685,0.0,0.6357,0.0,0.6162,0.0,0.7068
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_24_SGNS_historicalVAD.tsv,0.8769,0.0,0.6213,0.0,0.5566,0.0002,0.6849
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_25_SGNS_historicalVAD.tsv,0.8641,0.0,0.6881,0.0,0.5771,0.0001,0.7098
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_26_SGNS_historicalVAD.tsv,0.8689,0.0,0.5659,0.0002,0.531,0.0005,0.6553
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_27_SGNS_historicalVAD.tsv,0.8416,0.0,0.6,0.0001,0.5173,0.0007,0.6529
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_28_SGNS_historicalVAD.tsv,0.8692,0.0,0.6412,0.0,0.5069,0.001,0.6724
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_29_SGNS_historicalVAD.tsv,0.8709,0.0,0.6559,0.0,0.5702,0.0002,0.699
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_2_SGNS_historicalVAD.tsv,0.8982,0.0,0.6092,0.0,0.5516,0.0003,0.6863
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_30_SGNS_historicalVAD.tsv,0.8834,0.0,0.5954,0.0001,0.5942,0.0001,0.691
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_31_SGNS_historicalVAD.tsv,0.8655,0.0,0.6215,0.0,0.5574,0.0002,0.6815
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_32_SGNS_historicalVAD.tsv,0.8572,0.0,0.617,0.0,0.5205,0.0007,0.6649
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_33_SGNS_historicalVAD.tsv,0.8691,0.0,0.6231,0.0,0.5514,0.0003,0.6812
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_34_SGNS_historicalVAD.tsv,0.8629,0.0,0.6488,0.0,0.5707,0.0001,0.6941
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_35_SGNS_historicalVAD.tsv,0.8671,0.0,0.6747,0.0,0.5414,0.0004,0.6944
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_36_SGNS_historicalVAD.tsv,0.8862,0.0,0.6644,0.0,0.5768,0.0001,0.7091
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_37_SGNS_historicalVAD.tsv,0.8713,0.0,0.6272,0.0,0.5586,0.0002,0.6857
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_38_SGNS_historicalVAD.tsv,0.8556,0.0,0.668,0.0,0.5036,0.0011,0.6758
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_39_SGNS_historicalVAD.tsv,0.895,0.0,0.5823,0.0001,0.5789,0.0001,0.6854
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_3_SGNS_historicalVAD.tsv,0.8924,0.0,0.624,0.0,0.5425,0.0004,0.6863
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_40_SGNS_historicalVAD.tsv,0.8842,0.0,0.6583,0.0,0.5553,0.0002,0.6993
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_41_SGNS_historicalVAD.tsv,0.8845,0.0,0.6601,0.0,0.5749,0.0001,0.7065
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_42_SGNS_historicalVAD.tsv,0.885,0.0,0.5807,0.0001,0.598,0.0001,0.6879
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_43_SGNS_historicalVAD.tsv,0.8653,0.0,0.6135,0.0,0.5865,0.0001,0.6884
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_44_SGNS_historicalVAD.tsv,0.8916,0.0,0.6149,0.0,0.589,0.0001,0.6985
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_45_SGNS_historicalVAD.tsv,0.857,0.0,0.6612,0.0,0.5802,0.0001,0.6994
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_46_SGNS_historicalVAD.tsv,0.874,0.0,0.6289,0.0,0.5326,0.0005,0.6785
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_47_SGNS_historicalVAD.tsv,0.8753,0.0,0.676,0.0,0.5243,0.0006,0.6919
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_48_SGNS_historicalVAD.tsv,0.8665,0.0,0.7071,0.0,0.5304,0.0005,0.7014
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_49_SGNS_historicalVAD.tsv,0.8642,0.0,0.626,0.0,0.5824,0.0001,0.6909
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_4_SGNS_historicalVAD.tsv,0.8691,0.0,0.6123,0.0,0.5478,0.0003,0.6764
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_50_SGNS_historicalVAD.tsv,0.8473,0.0,0.673,0.0,0.5453,0.0003,0.6885
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_5_SGNS_historicalVAD.tsv,0.879,0.0,0.6091,0.0,0.6045,0.0,0.6975
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_6_SGNS_historicalVAD.tsv,0.8692,0.0,0.6252,0.0,0.5639,0.0002,0.6861
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_7_SGNS_historicalVAD.tsv,0.8805,0.0,0.6373,0.0,0.6005,0.0001,0.7061
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_8_SGNS_historicalVAD.tsv,0.8734,0.0,0.6552,0.0,0.5363,0.0004,0.6883
stable_words\SGNS_LinearRegression\Warriner3000\Warriner_3000_9_SGNS_historicalVAD.tsv,0.8757,0.0,0.6626,0.0,0.5108,0.0009,0.683
Mean,0.8721479999999999,0.0,0.6393080000000001,1.6e-05,0.556426,0.000316,0.689294
