,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\SGNS_PaRaSim\NRC_VAD5000\NRC_VAD_5000_10_SGNS_historicalVAD.tsv,0.7675,0.0,0.5342,0.0006,0.0952,0.5696,0.4657
stable_words\SGNS_PaRaSim\NRC_VAD5000\NRC_VAD_5000_11_SGNS_historicalVAD.tsv,0.7627,0.0,0.5425,0.0004,0.0736,0.6606,0.4596
stable_words\SGNS_PaRaSim\NRC_VAD5000\NRC_VAD_5000_12_SGNS_historicalVAD.tsv,0.7714,0.0,0.5334,0.0006,0.0632,0.7061,0.456
stable_words\SGNS_PaRaSim\NRC_VAD5000\NRC_VAD_5000_13_SGNS_historicalVAD.tsv,0.7778,0.0,0.54,0.0005,0.0774,0.6442,0.465
stable_words\SGNS_PaRaSim\NRC_VAD5000\NRC_VAD_5000_14_SGNS_historicalVAD.tsv,0.7599,0.0,0.5303,0.0006,0.0607,0.7175,0.4503
stable_words\SGNS_PaRaSim\NRC_VAD5000\NRC_VAD_5000_15_SGNS_historicalVAD.tsv,0.7715,0.0,0.5323,0.0006,0.0363,0.8286,0.4467
stable_words\SGNS_PaRaSim\NRC_VAD5000\NRC_VAD_5000_16_SGNS_historicalVAD.tsv,0.7636,0.0,0.5341,0.0006,0.0616,0.7135,0.4531
stable_words\SGNS_PaRaSim\NRC_VAD5000\NRC_VAD_5000_17_SGNS_historicalVAD.tsv,0.7603,0.0,0.5416,0.0004,0.0587,0.7261,0.4536
stable_words\SGNS_PaRaSim\NRC_VAD5000\NRC_VAD_5000_18_SGNS_historicalVAD.tsv,0.7556,0.0,0.5117,0.001,0.0664,0.6922,0.4446
stable_words\SGNS_PaRaSim\NRC_VAD5000\NRC_VAD_5000_19_SGNS_historicalVAD.tsv,0.7764,0.0,0.5239,0.0007,0.0635,0.7047,0.4546
stable_words\SGNS_PaRaSim\NRC_VAD5000\NRC_VAD_5000_1_SGNS_historicalVAD.tsv,0.7637,0.0,0.5294,0.0006,0.0594,0.7234,0.4508
stable_words\SGNS_PaRaSim\NRC_VAD5000\NRC_VAD_5000_20_SGNS_historicalVAD.tsv,0.7747,0.0,0.5332,0.0006,0.0924,0.581,0.4668
