,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_10_FastText_historicalVAD.tsv,0.8729,0.0,0.4863,0.002,0.4237,0.008,0.5943
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_11_FastText_historicalVAD.tsv,0.8584,0.0,0.4603,0.0036,0.4369,0.0061,0.5852
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_12_FastText_historicalVAD.tsv,0.8588,0.0,0.4639,0.0034,0.4023,0.0123,0.575
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_13_FastText_historicalVAD.tsv,0.8715,0.0,0.4744,0.0026,0.4147,0.0096,0.5869
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_14_FastText_historicalVAD.tsv,0.8571,0.0,0.4274,0.0074,0.3955,0.014,0.56
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_15_FastText_historicalVAD.tsv,0.858,0.0,0.4506,0.0045,0.375,0.0204,0.5612
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_16_FastText_historicalVAD.tsv,0.8735,0.0,0.468,0.003,0.4245,0.0079,0.5887
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_17_FastText_historicalVAD.tsv,0.8783,0.0,0.4414,0.0055,0.4084,0.0109,0.576
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_18_FastText_historicalVAD.tsv,0.8643,0.0,0.4266,0.0076,0.4108,0.0104,0.5672
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_19_FastText_historicalVAD.tsv,0.8807,0.0,0.4743,0.0026,0.3916,0.0151,0.5822
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_1_FastText_historicalVAD.tsv,0.8729,0.0,0.4979,0.0015,0.4531,0.0043,0.608
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_20_FastText_historicalVAD.tsv,0.8643,0.0,0.4618,0.0035,0.3815,0.0181,0.5692
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_21_FastText_historicalVAD.tsv,0.8623,0.0,0.5185,0.0009,0.4326,0.0067,0.6045
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_22_FastText_historicalVAD.tsv,0.8759,0.0,0.4614,0.0035,0.4336,0.0065,0.5903
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_23_FastText_historicalVAD.tsv,0.8565,0.0,0.4916,0.0017,0.4502,0.0046,0.5995
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_24_FastText_historicalVAD.tsv,0.8629,0.0,0.5343,0.0005,0.4078,0.011,0.6017
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_25_FastText_historicalVAD.tsv,0.8751,0.0,0.4603,0.0036,0.4198,0.0087,0.585
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_26_FastText_historicalVAD.tsv,0.8718,0.0,0.4709,0.0028,0.4349,0.0064,0.5925
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_27_FastText_historicalVAD.tsv,0.8729,0.0,0.4633,0.0034,0.4113,0.0103,0.5825
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_28_FastText_historicalVAD.tsv,0.8619,0.0,0.4154,0.0095,0.4274,0.0074,0.5682
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_29_FastText_historicalVAD.tsv,0.8947,0.0,0.4697,0.0029,0.4209,0.0085,0.5951
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_2_FastText_historicalVAD.tsv,0.8621,0.0,0.5002,0.0014,0.4007,0.0127,0.5877
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_30_FastText_historicalVAD.tsv,0.8663,0.0,0.473,0.0027,0.4634,0.0034,0.6009
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_31_FastText_historicalVAD.tsv,0.8548,0.0,0.4484,0.0048,0.3777,0.0194,0.5603
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_32_FastText_historicalVAD.tsv,0.863,0.0,0.4516,0.0044,0.3869,0.0164,0.5671
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_33_FastText_historicalVAD.tsv,0.8852,0.0,0.5029,0.0013,0.4522,0.0044,0.6134
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_34_FastText_historicalVAD.tsv,0.8736,0.0,0.4474,0.0049,0.4094,0.0107,0.5768
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_35_FastText_historicalVAD.tsv,0.8548,0.0,0.4168,0.0092,0.4151,0.0096,0.5622
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_36_FastText_historicalVAD.tsv,0.8682,0.0,0.4782,0.0024,0.4347,0.0064,0.5937
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_37_FastText_historicalVAD.tsv,0.8633,0.0,0.4665,0.0032,0.4033,0.0121,0.5777
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_38_FastText_historicalVAD.tsv,0.8534,0.0,0.4623,0.0035,0.3797,0.0187,0.5651
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_39_FastText_historicalVAD.tsv,0.8657,0.0,0.5032,0.0013,0.3796,0.0188,0.5828
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_3_FastText_historicalVAD.tsv,0.8688,0.0,0.4395,0.0058,0.4004,0.0127,0.5696
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_40_FastText_historicalVAD.tsv,0.8645,0.0,0.4674,0.0031,0.4318,0.0068,0.5879
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_41_FastText_historicalVAD.tsv,0.8597,0.0,0.4888,0.0018,0.4045,0.0118,0.5843
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_42_FastText_historicalVAD.tsv,0.8438,0.0,0.4628,0.0034,0.3778,0.0194,0.5615
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_43_FastText_historicalVAD.tsv,0.8554,0.0,0.4458,0.005,0.3706,0.022,0.5573
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_44_FastText_historicalVAD.tsv,0.8523,0.0,0.4829,0.0021,0.3862,0.0166,0.5738
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_45_FastText_historicalVAD.tsv,0.8575,0.0,0.5096,0.0011,0.407,0.0112,0.5914
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_46_FastText_historicalVAD.tsv,0.8636,0.0,0.504,0.0013,0.3422,0.0354,0.5699
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_47_FastText_historicalVAD.tsv,0.8744,0.0,0.4717,0.0028,0.4163,0.0093,0.5875
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_48_FastText_historicalVAD.tsv,0.8616,0.0,0.5249,0.0007,0.4053,0.0116,0.5973
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_49_FastText_historicalVAD.tsv,0.8594,0.0,0.4987,0.0014,0.3638,0.0247,0.574
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_4_FastText_historicalVAD.tsv,0.8644,0.0,0.4434,0.0053,0.4025,0.0122,0.5701
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_50_FastText_historicalVAD.tsv,0.8815,0.0,0.4623,0.0035,0.4487,0.0047,0.5975
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_5_FastText_historicalVAD.tsv,0.8604,0.0,0.4582,0.0038,0.4438,0.0053,0.5874
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_6_FastText_historicalVAD.tsv,0.8567,0.0,0.4946,0.0016,0.4222,0.0083,0.5912
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_7_FastText_historicalVAD.tsv,0.8739,0.0,0.4389,0.0058,0.3926,0.0148,0.5685
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_8_FastText_historicalVAD.tsv,0.8646,0.0,0.4736,0.0027,0.4681,0.003,0.6021
stable_words\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_9_FastText_historicalVAD.tsv,0.868,0.0,0.4397,0.0057,0.4169,0.0092,0.5749
