,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_46_FastText_historicalVAD.tsv,0.8586,0.0,0.5976,0.0001,0.5198,0.0007,0.6587
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_47_FastText_historicalVAD.tsv,0.8512,0.0,0.606,0.0,0.5206,0.0007,0.6593
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_48_FastText_historicalVAD.tsv,0.8508,0.0,0.6132,0.0,0.5403,0.0004,0.6681
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_49_FastText_historicalVAD.tsv,0.8546,0.0,0.6245,0.0,0.527,0.0006,0.6687
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_4_FastText_historicalVAD.tsv,0.8563,0.0,0.6258,0.0,0.5375,0.0004,0.6732
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_50_FastText_historicalVAD.tsv,0.8586,0.0,0.6268,0.0,0.5269,0.0006,0.6708
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_5_FastText_historicalVAD.tsv,0.8547,0.0,0.6353,0.0,0.5359,0.0004,0.6753
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_6_FastText_historicalVAD.tsv,0.8584,0.0,0.6089,0.0,0.5236,0.0006,0.6636
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_7_FastText_historicalVAD.tsv,0.8621,0.0,0.6185,0.0,0.5446,0.0003,0.675
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_8_FastText_historicalVAD.tsv,0.8627,0.0,0.6102,0.0,0.5448,0.0003,0.6726
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_9_FastText_historicalVAD.tsv,0.8602,0.0,0.6184,0.0,0.5372,0.0004,0.6719
Mean,0.8584520000000001,0.0,0.6155539999999999,4e-06,0.5323599999999999,0.0004940000000000001,0.6687879999999999
