,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\FastText_kNN\Warriner6000\Warriner_6000_47_FastText_historicalVAD.tsv,0.7643,0.0,0.724,0.0,0.3966,0.0124,0.6283
stable_words\FastText_kNN\Warriner6000\Warriner_6000_48_FastText_historicalVAD.tsv,0.7796,0.0,0.6825,0.0,0.3616,0.0237,0.6079
stable_words\FastText_kNN\Warriner6000\Warriner_6000_49_FastText_historicalVAD.tsv,0.7899,0.0,0.7314,0.0,0.4818,0.0019,0.6677
stable_words\FastText_kNN\Warriner6000\Warriner_6000_4_FastText_historicalVAD.tsv,0.7739,0.0,0.7704,0.0,0.3374,0.0357,0.6273
stable_words\FastText_kNN\Warriner6000\Warriner_6000_50_FastText_historicalVAD.tsv,0.7219,0.0,0.7374,0.0,0.3487,0.0296,0.6027
stable_words\FastText_kNN\Warriner6000\Warriner_6000_5_FastText_historicalVAD.tsv,0.7779,0.0,0.7495,0.0,0.3711,0.02,0.6328
stable_words\FastText_kNN\Warriner6000\Warriner_6000_6_FastText_historicalVAD.tsv,0.7493,0.0,0.7135,0.0,0.3189,0.0479,0.5939
stable_words\FastText_kNN\Warriner6000\Warriner_6000_7_FastText_historicalVAD.tsv,0.7958,0.0,0.7737,0.0,0.3446,0.0317,0.638
stable_words\FastText_kNN\Warriner6000\Warriner_6000_8_FastText_historicalVAD.tsv,0.7549,0.0,0.7075,0.0,0.3016,0.062,0.588
stable_words\FastText_kNN\Warriner6000\Warriner_6000_9_FastText_historicalVAD.tsv,0.7803,0.0,0.6911,0.0,0.4467,0.0044,0.6393
Mean,0.766264,0.0,0.7261580000000001,0.0,0.37207999999999997,0.024116,0.621498
