,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_10_SGNS_historicalVAD.tsv,0.8843,0.0,0.4558,0.004,0.5452,0.0004,0.6284
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_11_SGNS_historicalVAD.tsv,0.8852,0.0,0.4738,0.0027,0.5665,0.0002,0.6418
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_12_SGNS_historicalVAD.tsv,0.89,0.0,0.4755,0.0026,0.5687,0.0002,0.6447
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_13_SGNS_historicalVAD.tsv,0.8923,0.0,0.4653,0.0032,0.537,0.0005,0.6316
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_14_SGNS_historicalVAD.tsv,0.892,0.0,0.457,0.0039,0.5569,0.0003,0.6353
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_15_SGNS_historicalVAD.tsv,0.8934,0.0,0.4785,0.0024,0.5439,0.0004,0.6386
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_16_SGNS_historicalVAD.tsv,0.8893,0.0,0.4873,0.0019,0.5432,0.0004,0.6399
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_17_SGNS_historicalVAD.tsv,0.8846,0.0,0.4441,0.0052,0.567,0.0002,0.6319
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_18_SGNS_historicalVAD.tsv,0.8908,0.0,0.4624,0.0035,0.5205,0.0008,0.6246
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_19_SGNS_historicalVAD.tsv,0.8955,0.0,0.4524,0.0043,0.5397,0.0005,0.6292
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_1_SGNS_historicalVAD.tsv,0.8917,0.0,0.4647,0.0033,0.55,0.0003,0.6354
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_20_SGNS_historicalVAD.tsv,0.886,0.0,0.4664,0.0032,0.5415,0.0004,0.6313
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_21_SGNS_historicalVAD.tsv,0.8857,0.0,0.4651,0.0033,0.5399,0.0005,0.6302
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_22_SGNS_historicalVAD.tsv,0.8826,0.0,0.494,0.0016,0.5464,0.0004,0.641
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_23_SGNS_historicalVAD.tsv,0.8866,0.0,0.4862,0.002,0.5371,0.0005,0.6366
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_24_SGNS_historicalVAD.tsv,0.878,0.0,0.4607,0.0036,0.533,0.0006,0.6239
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_25_SGNS_historicalVAD.tsv,0.8839,0.0,0.437,0.0061,0.5293,0.0006,0.6168
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_26_SGNS_historicalVAD.tsv,0.8892,0.0,0.4616,0.0035,0.5194,0.0008,0.6234
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_27_SGNS_historicalVAD.tsv,0.887,0.0,0.4731,0.0027,0.5114,0.001,0.6239
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_28_SGNS_historicalVAD.tsv,0.8837,0.0,0.4639,0.0034,0.5203,0.0008,0.6226
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_29_SGNS_historicalVAD.tsv,0.8951,0.0,0.4765,0.0025,0.5186,0.0009,0.6301
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_2_SGNS_historicalVAD.tsv,0.892,0.0,0.4918,0.0017,0.5597,0.0003,0.6479
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_30_SGNS_historicalVAD.tsv,0.8914,0.0,0.4555,0.0041,0.5661,0.0002,0.6377
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_31_SGNS_historicalVAD.tsv,0.8891,0.0,0.465,0.0033,0.5128,0.001,0.6223
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_32_SGNS_historicalVAD.tsv,0.889,0.0,0.4847,0.002,0.5593,0.0003,0.6443
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_33_SGNS_historicalVAD.tsv,0.8856,0.0,0.4712,0.0028,0.5458,0.0004,0.6342
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_34_SGNS_historicalVAD.tsv,0.8904,0.0,0.4757,0.0025,0.5692,0.0002,0.6451
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_35_SGNS_historicalVAD.tsv,0.8889,0.0,0.4773,0.0024,0.5332,0.0006,0.6331
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_36_SGNS_historicalVAD.tsv,0.8958,0.0,0.4911,0.0017,0.5744,0.0002,0.6537
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_37_SGNS_historicalVAD.tsv,0.8808,0.0,0.482,0.0022,0.5174,0.0009,0.6267
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_38_SGNS_historicalVAD.tsv,0.8874,0.0,0.4597,0.0037,0.552,0.0003,0.633
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_39_SGNS_historicalVAD.tsv,0.8881,0.0,0.4778,0.0024,0.5183,0.0009,0.6281
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_3_SGNS_historicalVAD.tsv,0.8857,0.0,0.4847,0.002,0.5372,0.0005,0.6359
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_40_SGNS_historicalVAD.tsv,0.8798,0.0,0.4554,0.0041,0.4993,0.0014,0.6115
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_41_SGNS_historicalVAD.tsv,0.89,0.0,0.4735,0.0027,0.5494,0.0004,0.6376
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_42_SGNS_historicalVAD.tsv,0.8891,0.0,0.4549,0.0041,0.5544,0.0003,0.6328
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_43_SGNS_historicalVAD.tsv,0.8824,0.0,0.4681,0.003,0.5446,0.0004,0.6317
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_44_SGNS_historicalVAD.tsv,0.8868,0.0,0.4769,0.0025,0.5228,0.0008,0.6289
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_45_SGNS_historicalVAD.tsv,0.8797,0.0,0.4641,0.0033,0.5264,0.0007,0.6234
stable_words\SGNS_LinearRegression\NRC_VAD8000\NRC_VAD_8000_46_SGNS_historicalVAD.tsv,0.8795,0.0,0.4453,0.0051,0.5596,0.0003,0.6281
