,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_10_SGNS_historicalVAD.tsv,0.8929,0.0,0.4658,0.0032,0.5342,0.0006,0.6309
stable_words\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_11_SGNS_historicalVAD.tsv,0.8888,0.0,0.4672,0.0031,0.5477,0.0004,0.6346
stable_words\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_12_SGNS_historicalVAD.tsv,0.8854,0.0,0.474,0.0026,0.5495,0.0004,0.6363
stable_words\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_13_SGNS_historicalVAD.tsv,0.8841,0.0,0.4739,0.0027,0.5258,0.0007,0.6279
stable_words\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_14_SGNS_historicalVAD.tsv,0.8821,0.0,0.4711,0.0028,0.5617,0.0002,0.6383
stable_words\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_15_SGNS_historicalVAD.tsv,0.8851,0.0,0.4502,0.0046,0.537,0.0005,0.6241
stable_words\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_16_SGNS_historicalVAD.tsv,0.8881,0.0,0.4505,0.0045,0.547,0.0004,0.6285
stable_words\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_17_SGNS_historicalVAD.tsv,0.8907,0.0,0.4705,0.0029,0.5268,0.0007,0.6293
stable_words\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_18_SGNS_historicalVAD.tsv,0.8888,0.0,0.4675,0.0031,0.5481,0.0004,0.6348
stable_words\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_19_SGNS_historicalVAD.tsv,0.8937,0.0,0.4649,0.0033,0.55,0.0003,0.6362
stable_words\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_1_SGNS_historicalVAD.tsv,0.8868,0.0,0.4681,0.003,0.5459,0.0004,0.6336
stable_words\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_20_SGNS_historicalVAD.tsv,0.8904,0.0,0.467,0.0031,0.5419,0.0004,0.6331
stable_words\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_21_SGNS_historicalVAD.tsv,0.8951,0.0,0.4723,0.0028,0.5185,0.0009,0.6286
stable_words\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_22_SGNS_historicalVAD.tsv,0.889,0.0,0.4654,0.0032,0.5497,0.0004,0.6347
stable_words\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_23_SGNS_historicalVAD.tsv,0.8867,0.0,0.458,0.0038,0.5523,0.0003,0.6324
stable_words\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_24_SGNS_historicalVAD.tsv,0.8853,0.0,0.4619,0.0035,0.5357,0.0005,0.6276
stable_words\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_25_SGNS_historicalVAD.tsv,0.8911,0.0,0.4736,0.0027,0.5628,0.0002,0.6425
