,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_42_SGNS_historicalVAD.tsv,0.8751,0.0,0.4427,0.0054,0.5372,0.0005,0.6183
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_43_SGNS_historicalVAD.tsv,0.8798,0.0,0.4511,0.0045,0.5543,0.0003,0.6284
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_44_SGNS_historicalVAD.tsv,0.8858,0.0,0.4614,0.0036,0.5144,0.001,0.6205
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_45_SGNS_historicalVAD.tsv,0.8828,0.0,0.4374,0.006,0.5489,0.0004,0.623
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_46_SGNS_historicalVAD.tsv,0.8781,0.0,0.4646,0.0033,0.4559,0.004,0.5996
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_47_SGNS_historicalVAD.tsv,0.8771,0.0,0.4613,0.0036,0.5035,0.0013,0.614
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_48_SGNS_historicalVAD.tsv,0.8794,0.0,0.472,0.0028,0.5202,0.0008,0.6239
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_49_SGNS_historicalVAD.tsv,0.8877,0.0,0.4735,0.0027,0.5376,0.0005,0.6329
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_4_SGNS_historicalVAD.tsv,0.8789,0.0,0.4793,0.0023,0.5254,0.0007,0.6279
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_50_SGNS_historicalVAD.tsv,0.8984,0.0,0.4121,0.0101,0.5517,0.0003,0.6208
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_5_SGNS_historicalVAD.tsv,0.8679,0.0,0.4673,0.0031,0.5191,0.0008,0.6181
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_6_SGNS_historicalVAD.tsv,0.8846,0.0,0.4459,0.005,0.5456,0.0004,0.6254
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_7_SGNS_historicalVAD.tsv,0.8987,0.0,0.4328,0.0066,0.5754,0.0002,0.6357
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_8_SGNS_historicalVAD.tsv,0.8815,0.0,0.4794,0.0023,0.5527,0.0003,0.6379
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_9_SGNS_historicalVAD.tsv,0.8776,0.0,0.4554,0.0041,0.5635,0.0002,0.6322
Mean,0.885838,0.0,0.4643879999999999,0.0037,0.52785,0.0008640000000000001,0.626028
