,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_10_FastText_historicalVAD.tsv,0.844,0.0,0.4524,0.0044,0.3811,0.0182,0.5592
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_11_FastText_historicalVAD.tsv,0.8314,0.0,0.4711,0.0028,0.4215,0.0084,0.5747
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_12_FastText_historicalVAD.tsv,0.8703,0.0,0.4846,0.002,0.385,0.017,0.58
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_13_FastText_historicalVAD.tsv,0.8641,0.0,0.4011,0.0126,0.3874,0.0163,0.5509
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_14_FastText_historicalVAD.tsv,0.8613,0.0,0.4811,0.0022,0.4306,0.007,0.591
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_15_FastText_historicalVAD.tsv,0.8765,0.0,0.4902,0.0018,0.4244,0.0079,0.597
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_16_FastText_historicalVAD.tsv,0.8375,0.0,0.4466,0.0049,0.3986,0.0132,0.5609
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_17_FastText_historicalVAD.tsv,0.8612,0.0,0.4863,0.002,0.3859,0.0167,0.5778
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_18_FastText_historicalVAD.tsv,0.8505,0.0,0.4304,0.007,0.3567,0.0279,0.5459
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_19_FastText_historicalVAD.tsv,0.8749,0.0,0.4574,0.0039,0.4287,0.0072,0.587
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_1_FastText_historicalVAD.tsv,0.8719,0.0,0.492,0.0017,0.4348,0.0064,0.5996
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_20_FastText_historicalVAD.tsv,0.882,0.0,0.4278,0.0074,0.4177,0.0091,0.5758
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_21_FastText_historicalVAD.tsv,0.8522,0.0,0.4716,0.0028,0.4031,0.0121,0.5757
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_22_FastText_historicalVAD.tsv,0.8655,0.0,0.4621,0.0035,0.4586,0.0038,0.5954
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_23_FastText_historicalVAD.tsv,0.8775,0.0,0.4581,0.0038,0.4134,0.0099,0.583
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_24_FastText_historicalVAD.tsv,0.8657,0.0,0.4704,0.0029,0.3346,0.0401,0.5569
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_25_FastText_historicalVAD.tsv,0.8617,0.0,0.4601,0.0037,0.4338,0.0065,0.5852
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_26_FastText_historicalVAD.tsv,0.8581,0.0,0.4643,0.0033,0.3851,0.017,0.5692
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_27_FastText_historicalVAD.tsv,0.8513,0.0,0.4764,0.0025,0.4437,0.0053,0.5905
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_28_FastText_historicalVAD.tsv,0.8518,0.0,0.5143,0.001,0.4038,0.0119,0.5899
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_29_FastText_historicalVAD.tsv,0.8551,0.0,0.4732,0.0027,0.4443,0.0052,0.5909
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_2_FastText_historicalVAD.tsv,0.8698,0.0,0.4596,0.0037,0.3846,0.0171,0.5713
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_30_FastText_historicalVAD.tsv,0.8902,0.0,0.4676,0.0031,0.4524,0.0043,0.6034
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_31_FastText_historicalVAD.tsv,0.8873,0.0,0.4587,0.0038,0.4052,0.0116,0.5837
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_32_FastText_historicalVAD.tsv,0.8686,0.0,0.4829,0.0021,0.3936,0.0145,0.5817
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_33_FastText_historicalVAD.tsv,0.8671,0.0,0.4881,0.0019,0.4285,0.0073,0.5946
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_34_FastText_historicalVAD.tsv,0.8866,0.0,0.4765,0.0025,0.4286,0.0073,0.5972
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_35_FastText_historicalVAD.tsv,0.8833,0.0,0.4695,0.0029,0.4195,0.0087,0.5908
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_36_FastText_historicalVAD.tsv,0.8587,0.0,0.4666,0.0031,0.4281,0.0073,0.5845
stable_words\FastText_LinearRegression\NRC_VAD5000\NRC_VAD_5000_37_FastText_historicalVAD.tsv,0.8543,0.0,0.4556,0.004,0.3871,0.0163,0.5657
