,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_10_FastText_historicalVAD.tsv,0.8774,0.0,0.4664,0.0032,0.4067,0.0113,0.5835
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_11_FastText_historicalVAD.tsv,0.8781,0.0,0.4826,0.0021,0.415,0.0096,0.5919
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_12_FastText_historicalVAD.tsv,0.8703,0.0,0.4673,0.0031,0.4122,0.0101,0.5833
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_13_FastText_historicalVAD.tsv,0.8685,0.0,0.4529,0.0043,0.4017,0.0124,0.5744
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_14_FastText_historicalVAD.tsv,0.8709,0.0,0.4748,0.0026,0.4274,0.0074,0.591
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_15_FastText_historicalVAD.tsv,0.8702,0.0,0.467,0.0031,0.4085,0.0109,0.5819
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_16_FastText_historicalVAD.tsv,0.8782,0.0,0.4889,0.0018,0.41,0.0106,0.5923
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_17_FastText_historicalVAD.tsv,0.8773,0.0,0.4632,0.0034,0.4169,0.0092,0.5858
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_18_FastText_historicalVAD.tsv,0.8711,0.0,0.4577,0.0039,0.4144,0.0097,0.5811
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_19_FastText_historicalVAD.tsv,0.8664,0.0,0.4437,0.0053,0.4099,0.0106,0.5733
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_1_FastText_historicalVAD.tsv,0.8721,0.0,0.47,0.0029,0.4089,0.0108,0.5837
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_20_FastText_historicalVAD.tsv,0.8765,0.0,0.4793,0.0023,0.4125,0.0101,0.5894
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_21_FastText_historicalVAD.tsv,0.8744,0.0,0.4959,0.0015,0.4226,0.0082,0.5976
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_22_FastText_historicalVAD.tsv,0.8708,0.0,0.4667,0.0031,0.4263,0.0076,0.5879
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_23_FastText_historicalVAD.tsv,0.8687,0.0,0.4752,0.0026,0.4131,0.01,0.5857
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_24_FastText_historicalVAD.tsv,0.8758,0.0,0.4781,0.0024,0.3938,0.0144,0.5826
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_25_FastText_historicalVAD.tsv,0.8655,0.0,0.4857,0.002,0.4084,0.0109,0.5865
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_26_FastText_historicalVAD.tsv,0.8725,0.0,0.4706,0.0029,0.4311,0.0069,0.5914
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_27_FastText_historicalVAD.tsv,0.8648,0.0,0.479,0.0023,0.3969,0.0136,0.5802
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_28_FastText_historicalVAD.tsv,0.8654,0.0,0.4764,0.0025,0.3796,0.0187,0.5738
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_29_FastText_historicalVAD.tsv,0.867,0.0,0.458,0.0038,0.3998,0.0129,0.5749
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_2_FastText_historicalVAD.tsv,0.869,0.0,0.4869,0.0019,0.3977,0.0134,0.5845
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_30_FastText_historicalVAD.tsv,0.8748,0.0,0.5164,0.0009,0.4164,0.0093,0.6026
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_31_FastText_historicalVAD.tsv,0.8648,0.0,0.4579,0.0038,0.4145,0.0097,0.579
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_32_FastText_historicalVAD.tsv,0.8664,0.0,0.4734,0.0027,0.4521,0.0044,0.5973
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_33_FastText_historicalVAD.tsv,0.8734,0.0,0.4872,0.0019,0.4215,0.0084,0.5941
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_34_FastText_historicalVAD.tsv,0.8759,0.0,0.4921,0.0017,0.4424,0.0054,0.6035
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_35_FastText_historicalVAD.tsv,0.8707,0.0,0.4784,0.0024,0.4094,0.0107,0.5861
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_36_FastText_historicalVAD.tsv,0.8797,0.0,0.4781,0.0024,0.4136,0.0099,0.5904
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_37_FastText_historicalVAD.tsv,0.8719,0.0,0.4604,0.0036,0.4018,0.0124,0.578
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_38_FastText_historicalVAD.tsv,0.8761,0.0,0.4589,0.0038,0.4494,0.0046,0.5948
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_39_FastText_historicalVAD.tsv,0.8754,0.0,0.4554,0.0041,0.421,0.0085,0.5839
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_3_FastText_historicalVAD.tsv,0.8704,0.0,0.4812,0.0022,0.4116,0.0102,0.5878
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_40_FastText_historicalVAD.tsv,0.8707,0.0,0.4657,0.0032,0.4183,0.009,0.5849
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_41_FastText_historicalVAD.tsv,0.8796,0.0,0.4956,0.0016,0.4287,0.0072,0.6013
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_42_FastText_historicalVAD.tsv,0.8711,0.0,0.4637,0.0034,0.4088,0.0108,0.5812
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_43_FastText_historicalVAD.tsv,0.8655,0.0,0.4689,0.003,0.4091,0.0108,0.5812
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_44_FastText_historicalVAD.tsv,0.87,0.0,0.4758,0.0025,0.4048,0.0117,0.5836
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_45_FastText_historicalVAD.tsv,0.8747,0.0,0.4737,0.0027,0.404,0.0119,0.5841
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_46_FastText_historicalVAD.tsv,0.8743,0.0,0.4541,0.0042,0.4189,0.0089,0.5824
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_47_FastText_historicalVAD.tsv,0.8701,0.0,0.4911,0.0017,0.4226,0.0082,0.5946
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_48_FastText_historicalVAD.tsv,0.875,0.0,0.4637,0.0034,0.4123,0.0101,0.5837
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_49_FastText_historicalVAD.tsv,0.8732,0.0,0.4821,0.0022,0.4111,0.0103,0.5888
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_4_FastText_historicalVAD.tsv,0.8693,0.0,0.4548,0.0041,0.4148,0.0096,0.5796
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_50_FastText_historicalVAD.tsv,0.8616,0.0,0.4925,0.0017,0.3996,0.0129,0.5846
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_5_FastText_historicalVAD.tsv,0.8659,0.0,0.4837,0.0021,0.3917,0.015,0.5804
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_6_FastText_historicalVAD.tsv,0.8786,0.0,0.4547,0.0041,0.3955,0.014,0.5763
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_7_FastText_historicalVAD.tsv,0.8738,0.0,0.4782,0.0024,0.3962,0.0138,0.5827
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_8_FastText_historicalVAD.tsv,0.8696,0.0,0.4544,0.0042,0.4361,0.0062,0.5867
stable_words\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_9_FastText_historicalVAD.tsv,0.8749,0.0,0.4624,0.0035,0.4179,0.009,0.5851
Mean,0.8717659999999999,0.0,0.47281599999999996,0.0028499999999999997,0.41314999999999996,0.010244,0.5859080000000001
