,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_10_SGNS_historicalVAD.tsv,0.8888,0.0,0.4521,0.0044,0.4681,0.003,0.603
stable_words\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_11_SGNS_historicalVAD.tsv,0.8814,0.0,0.4611,0.0036,0.5243,0.0007,0.6222
stable_words\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_12_SGNS_historicalVAD.tsv,0.8926,0.0,0.4682,0.003,0.5268,0.0007,0.6292
stable_words\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_13_SGNS_historicalVAD.tsv,0.8841,0.0,0.5048,0.0012,0.5177,0.0009,0.6355
stable_words\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_14_SGNS_historicalVAD.tsv,0.8618,0.0,0.4936,0.0016,0.4756,0.0025,0.6104
stable_words\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_15_SGNS_historicalVAD.tsv,0.8838,0.0,0.4552,0.0041,0.5117,0.001,0.6169
stable_words\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_16_SGNS_historicalVAD.tsv,0.8796,0.0,0.4636,0.0034,0.5471,0.0004,0.6301
stable_words\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_17_SGNS_historicalVAD.tsv,0.8834,0.0,0.4741,0.0026,0.5003,0.0014,0.6193
stable_words\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_18_SGNS_historicalVAD.tsv,0.8765,0.0,0.4623,0.0035,0.5074,0.0011,0.6154
stable_words\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_19_SGNS_historicalVAD.tsv,0.8723,0.0,0.4735,0.0027,0.5154,0.0009,0.6204
stable_words\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_1_SGNS_historicalVAD.tsv,0.8863,0.0,0.492,0.0017,0.4652,0.0033,0.6145
stable_words\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_20_SGNS_historicalVAD.tsv,0.8705,0.0,0.4676,0.0031,0.5024,0.0013,0.6135
