,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_10_FastText_historicalVAD.tsv,0.8573,0.0,0.5965,0.0001,0.4974,0.0013,0.6504
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_11_FastText_historicalVAD.tsv,0.8487,0.0,0.6484,0.0,0.526,0.0006,0.6743
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_12_FastText_historicalVAD.tsv,0.874,0.0,0.6256,0.0,0.5283,0.0005,0.676
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_13_FastText_historicalVAD.tsv,0.8678,0.0,0.6068,0.0,0.5376,0.0004,0.6707
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_14_FastText_historicalVAD.tsv,0.8611,0.0,0.6096,0.0,0.5596,0.0002,0.6768
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_15_FastText_historicalVAD.tsv,0.8504,0.0,0.6008,0.0001,0.5122,0.0009,0.6545
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_16_FastText_historicalVAD.tsv,0.8597,0.0,0.5841,0.0001,0.5362,0.0004,0.66
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_17_FastText_historicalVAD.tsv,0.869,0.0,0.5894,0.0001,0.5271,0.0006,0.6618
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_18_FastText_historicalVAD.tsv,0.8742,0.0,0.5996,0.0001,0.5312,0.0005,0.6683
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_19_FastText_historicalVAD.tsv,0.8517,0.0,0.6352,0.0,0.545,0.0003,0.6773
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_1_FastText_historicalVAD.tsv,0.8492,0.0,0.6097,0.0,0.5216,0.0007,0.6602
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_20_FastText_historicalVAD.tsv,0.8529,0.0,0.5887,0.0001,0.535,0.0004,0.6589
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_21_FastText_historicalVAD.tsv,0.854,0.0,0.5857,0.0001,0.5378,0.0004,0.6592
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_22_FastText_historicalVAD.tsv,0.8638,0.0,0.6152,0.0,0.5179,0.0007,0.6656
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_23_FastText_historicalVAD.tsv,0.8533,0.0,0.6289,0.0,0.5596,0.0002,0.6806
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_24_FastText_historicalVAD.tsv,0.8364,0.0,0.5956,0.0001,0.4777,0.0021,0.6366
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_25_FastText_historicalVAD.tsv,0.8534,0.0,0.6226,0.0,0.5211,0.0007,0.6657
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_26_FastText_historicalVAD.tsv,0.8525,0.0,0.5979,0.0001,0.5028,0.0011,0.6511
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_27_FastText_historicalVAD.tsv,0.8478,0.0,0.597,0.0001,0.5249,0.0006,0.6566
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_28_FastText_historicalVAD.tsv,0.8545,0.0,0.6353,0.0,0.5071,0.001,0.6656
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_29_FastText_historicalVAD.tsv,0.8585,0.0,0.6517,0.0,0.5505,0.0003,0.6869
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_2_FastText_historicalVAD.tsv,0.8447,0.0,0.6222,0.0,0.5293,0.0005,0.6654
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_30_FastText_historicalVAD.tsv,0.857,0.0,0.5946,0.0001,0.5226,0.0006,0.6581
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_31_FastText_historicalVAD.tsv,0.8535,0.0,0.6502,0.0,0.5352,0.0004,0.6796
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_32_FastText_historicalVAD.tsv,0.8638,0.0,0.5805,0.0001,0.5556,0.0002,0.6666
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_33_FastText_historicalVAD.tsv,0.8558,0.0,0.5969,0.0001,0.5676,0.0002,0.6734
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_34_FastText_historicalVAD.tsv,0.8392,0.0,0.6155,0.0,0.5445,0.0003,0.6664
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_35_FastText_historicalVAD.tsv,0.8484,0.0,0.6162,0.0,0.5111,0.0009,0.6586
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_36_FastText_historicalVAD.tsv,0.8576,0.0,0.5933,0.0001,0.506,0.001,0.6523
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_37_FastText_historicalVAD.tsv,0.864,0.0,0.6111,0.0,0.5562,0.0002,0.6771
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_38_FastText_historicalVAD.tsv,0.8617,0.0,0.5765,0.0001,0.5236,0.0006,0.6539
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_39_FastText_historicalVAD.tsv,0.8496,0.0,0.5624,0.0002,0.5271,0.0006,0.6464
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_3_FastText_historicalVAD.tsv,0.8529,0.0,0.6118,0.0,0.526,0.0006,0.6635
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_40_FastText_historicalVAD.tsv,0.8639,0.0,0.6275,0.0,0.5465,0.0003,0.6793
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_41_FastText_historicalVAD.tsv,0.8642,0.0,0.6519,0.0,0.5108,0.0009,0.6756
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_42_FastText_historicalVAD.tsv,0.8413,0.0,0.617,0.0,0.4906,0.0015,0.6496
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_43_FastText_historicalVAD.tsv,0.8509,0.0,0.6257,0.0,0.4955,0.0013,0.6573
stable_words\FastText_LinearRegression\Warriner6000\Warriner_6000_44_FastText_historicalVAD.tsv,0.8575,0.0,0.6138,0.0,0.514,0.0008,0.6618
