,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_10_SGNS_historicalVAD.tsv,0.7682,0.0,0.5188,0.0008,0.0259,0.8774,0.4376
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_11_SGNS_historicalVAD.tsv,0.7411,0.0,0.5298,0.0006,0.1091,0.5146,0.46
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_12_SGNS_historicalVAD.tsv,0.7655,0.0,0.5452,0.0004,0.0597,0.722,0.4568
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_13_SGNS_historicalVAD.tsv,0.7519,0.0,0.5353,0.0005,0.0747,0.6556,0.454
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_14_SGNS_historicalVAD.tsv,0.759,0.0,0.5268,0.0007,0.0728,0.664,0.4529
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_15_SGNS_historicalVAD.tsv,0.7905,0.0,0.5236,0.0007,0.0769,0.6465,0.4636
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_16_SGNS_historicalVAD.tsv,0.7588,0.0,0.5452,0.0004,0.0901,0.5906,0.4647
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_17_SGNS_historicalVAD.tsv,0.7481,0.0,0.5288,0.0006,0.0662,0.693,0.4477
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_18_SGNS_historicalVAD.tsv,0.7482,0.0,0.5385,0.0005,0.0943,0.5735,0.4603
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_19_SGNS_historicalVAD.tsv,0.7573,0.0,0.5491,0.0004,0.0338,0.8403,0.4468
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_1_SGNS_historicalVAD.tsv,0.7563,0.0,0.5309,0.0006,0.0384,0.8187,0.4419
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_20_SGNS_historicalVAD.tsv,0.7445,0.0,0.5559,0.0003,0.0783,0.6402,0.4596
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_21_SGNS_historicalVAD.tsv,0.7606,0.0,0.534,0.0006,0.1162,0.4874,0.4703
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_22_SGNS_historicalVAD.tsv,0.763,0.0,0.5359,0.0005,0.0576,0.7314,0.4521
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_23_SGNS_historicalVAD.tsv,0.7536,0.0,0.5365,0.0005,0.0741,0.6584,0.4547
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_24_SGNS_historicalVAD.tsv,0.765,0.0,0.546,0.0004,0.0716,0.669,0.4609
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_25_SGNS_historicalVAD.tsv,0.7646,0.0,0.5136,0.001,0.0685,0.6827,0.4489
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_26_SGNS_historicalVAD.tsv,0.7652,0.0,0.5323,0.0006,0.0712,0.6711,0.4562
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_27_SGNS_historicalVAD.tsv,0.7604,0.0,0.5113,0.001,0.0896,0.5925,0.4538
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_28_SGNS_historicalVAD.tsv,0.7707,0.0,0.5395,0.0005,0.0911,0.5866,0.4671
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_29_SGNS_historicalVAD.tsv,0.7622,0.0,0.5052,0.0012,0.0969,0.5627,0.4548
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_2_SGNS_historicalVAD.tsv,0.7586,0.0,0.5138,0.001,0.0509,0.7614,0.4411
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_30_SGNS_historicalVAD.tsv,0.7541,0.0,0.5253,0.0007,0.0777,0.6429,0.4524
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_31_SGNS_historicalVAD.tsv,0.7658,0.0,0.5266,0.0007,0.0671,0.6892,0.4532
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_32_SGNS_historicalVAD.tsv,0.7698,0.0,0.5359,0.0005,0.052,0.7565,0.4526
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_33_SGNS_historicalVAD.tsv,0.7829,0.0,0.5293,0.0006,0.0726,0.6648,0.4616
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_34_SGNS_historicalVAD.tsv,0.7688,0.0,0.5442,0.0004,0.0615,0.7137,0.4582
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_35_SGNS_historicalVAD.tsv,0.7606,0.0,0.5294,0.0006,0.0609,0.7162,0.4503
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_36_SGNS_historicalVAD.tsv,0.7616,0.0,0.5306,0.0006,0.0606,0.7176,0.4509
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_37_SGNS_historicalVAD.tsv,0.7728,0.0,0.5269,0.0007,0.0402,0.8105,0.4466
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_38_SGNS_historicalVAD.tsv,0.7643,0.0,0.5262,0.0007,-0.0042,0.98,0.4288
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_39_SGNS_historicalVAD.tsv,0.752,0.0,0.537,0.0005,0.059,0.7248,0.4493
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_3_SGNS_historicalVAD.tsv,0.7662,0.0,0.522,0.0008,0.0968,0.5632,0.4617
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_40_SGNS_historicalVAD.tsv,0.7569,0.0,0.5397,0.0005,0.0825,0.6225,0.4597
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_41_SGNS_historicalVAD.tsv,0.7691,0.0,0.5321,0.0006,0.0606,0.7178,0.4539
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_42_SGNS_historicalVAD.tsv,0.7939,0.0,0.5171,0.0009,0.0931,0.5784,0.468
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_43_SGNS_historicalVAD.tsv,0.7764,0.0,0.5169,0.0009,0.0614,0.7141,0.4516
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_44_SGNS_historicalVAD.tsv,0.7774,0.0,0.5162,0.0009,0.087,0.6034,0.4602
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_45_SGNS_historicalVAD.tsv,0.7589,0.0,0.5202,0.0008,0.0568,0.735,0.4453
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_46_SGNS_historicalVAD.tsv,0.7631,0.0,0.5116,0.001,0.059,0.725,0.4446
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_47_SGNS_historicalVAD.tsv,0.7409,0.0,0.5352,0.0005,0.0528,0.7527,0.443
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_48_SGNS_historicalVAD.tsv,0.7845,0.0,0.5483,0.0004,0.0518,0.7572,0.4615
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_49_SGNS_historicalVAD.tsv,0.7566,0.0,0.4986,0.0014,0.0204,0.9031,0.4252
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_4_SGNS_historicalVAD.tsv,0.7578,0.0,0.5272,0.0007,0.078,0.6418,0.4543
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_50_SGNS_historicalVAD.tsv,0.7628,0.0,0.531,0.0006,0.0757,0.6517,0.4565
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_5_SGNS_historicalVAD.tsv,0.7546,0.0,0.5198,0.0008,0.0693,0.6793,0.4479
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_6_SGNS_historicalVAD.tsv,0.7722,0.0,0.5174,0.0009,0.0196,0.907,0.4364
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_7_SGNS_historicalVAD.tsv,0.7751,0.0,0.5246,0.0007,0.0508,0.7621,0.4502
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_8_SGNS_historicalVAD.tsv,0.755,0.0,0.5238,0.0007,0.1092,0.514,0.4627
stable_words\SGNS_PaRaSim\NRC_VAD2000\NRC_VAD_2000_9_SGNS_historicalVAD.tsv,0.755,0.0,0.5223,0.0008,0.0579,0.73,0.445
Mean,0.7628480000000001,0.0,0.5286280000000001,0.000674,0.06676,0.6922820000000001,0.45274800000000004
