,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_10_SGNS_historicalVAD.tsv,0.8921,0.0,0.4535,0.0042,0.4947,0.0016,0.6134
stable_words\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_11_SGNS_historicalVAD.tsv,0.8822,0.0,0.4607,0.0036,0.5599,0.0003,0.6343
stable_words\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_12_SGNS_historicalVAD.tsv,0.8718,0.0,0.4728,0.0027,0.5022,0.0013,0.6156
stable_words\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_13_SGNS_historicalVAD.tsv,0.9017,0.0,0.4806,0.0023,0.5484,0.0004,0.6436
stable_words\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_14_SGNS_historicalVAD.tsv,0.8901,0.0,0.4488,0.0047,0.5675,0.0002,0.6355
stable_words\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_15_SGNS_historicalVAD.tsv,0.8829,0.0,0.4647,0.0033,0.5485,0.0004,0.632
stable_words\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_16_SGNS_historicalVAD.tsv,0.8845,0.0,0.4603,0.0036,0.5078,0.0011,0.6175
stable_words\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_17_SGNS_historicalVAD.tsv,0.8805,0.0,0.4824,0.0022,0.5452,0.0004,0.636
stable_words\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_18_SGNS_historicalVAD.tsv,0.8862,0.0,0.4763,0.0025,0.5396,0.0005,0.634
stable_words\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_19_SGNS_historicalVAD.tsv,0.8805,0.0,0.4655,0.0032,0.5537,0.0003,0.6332
stable_words\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_1_SGNS_historicalVAD.tsv,0.8905,0.0,0.4755,0.0026,0.5314,0.0006,0.6325
stable_words\SGNS_LinearRegression\NRC_VAD7000\NRC_VAD_7000_20_SGNS_historicalVAD.tsv,0.8879,0.0,0.4797,0.0023,0.5414,0.0004,0.6364
