,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_10_FastText_historicalVAD.tsv,0.8544,0.0,0.6417,0.0,0.529,0.0005,0.675
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_11_FastText_historicalVAD.tsv,0.8459,0.0,0.6315,0.0,0.5125,0.0009,0.6633
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_12_FastText_historicalVAD.tsv,0.8556,0.0,0.6135,0.0,0.5362,0.0004,0.6684
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_13_FastText_historicalVAD.tsv,0.8628,0.0,0.6467,0.0,0.5395,0.0004,0.683
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_14_FastText_historicalVAD.tsv,0.8651,0.0,0.6081,0.0,0.5414,0.0004,0.6715
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_15_FastText_historicalVAD.tsv,0.8532,0.0,0.6237,0.0,0.5256,0.0006,0.6675
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_16_FastText_historicalVAD.tsv,0.8482,0.0,0.639,0.0,0.5213,0.0007,0.6695
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_17_FastText_historicalVAD.tsv,0.8567,0.0,0.6267,0.0,0.528,0.0006,0.6704
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_18_FastText_historicalVAD.tsv,0.8504,0.0,0.5953,0.0001,0.5447,0.0003,0.6635
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_19_FastText_historicalVAD.tsv,0.8583,0.0,0.5952,0.0001,0.5118,0.0009,0.6551
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_1_FastText_historicalVAD.tsv,0.8535,0.0,0.6085,0.0,0.524,0.0006,0.662
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_20_FastText_historicalVAD.tsv,0.849,0.0,0.5999,0.0001,0.5051,0.001,0.6513
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_21_FastText_historicalVAD.tsv,0.8633,0.0,0.6153,0.0,0.5344,0.0005,0.671
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_22_FastText_historicalVAD.tsv,0.8519,0.0,0.6136,0.0,0.5503,0.0003,0.6719
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_23_FastText_historicalVAD.tsv,0.8576,0.0,0.6237,0.0,0.5147,0.0008,0.6653
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_24_FastText_historicalVAD.tsv,0.8594,0.0,0.6194,0.0,0.5307,0.0005,0.6699
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_25_FastText_historicalVAD.tsv,0.8597,0.0,0.593,0.0001,0.5379,0.0004,0.6635
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_26_FastText_historicalVAD.tsv,0.8508,0.0,0.6416,0.0,0.5144,0.0008,0.6689
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_27_FastText_historicalVAD.tsv,0.8461,0.0,0.6252,0.0,0.5454,0.0003,0.6723
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_28_FastText_historicalVAD.tsv,0.8619,0.0,0.6129,0.0,0.5249,0.0006,0.6666
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_29_FastText_historicalVAD.tsv,0.8517,0.0,0.6074,0.0,0.5246,0.0006,0.6612
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_2_FastText_historicalVAD.tsv,0.8578,0.0,0.6245,0.0,0.5342,0.0005,0.6722
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_30_FastText_historicalVAD.tsv,0.8546,0.0,0.6111,0.0,0.5036,0.0011,0.6564
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_31_FastText_historicalVAD.tsv,0.8606,0.0,0.6074,0.0,0.5454,0.0003,0.6711
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_32_FastText_historicalVAD.tsv,0.8587,0.0,0.6234,0.0,0.5321,0.0005,0.6714
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_33_FastText_historicalVAD.tsv,0.8564,0.0,0.6232,0.0,0.5236,0.0006,0.6677
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_34_FastText_historicalVAD.tsv,0.8645,0.0,0.6096,0.0,0.5432,0.0004,0.6724
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_35_FastText_historicalVAD.tsv,0.8471,0.0,0.6004,0.0001,0.4959,0.0013,0.6478
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_36_FastText_historicalVAD.tsv,0.8557,0.0,0.6296,0.0,0.5173,0.0007,0.6675
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_37_FastText_historicalVAD.tsv,0.8514,0.0,0.6321,0.0,0.5327,0.0005,0.6721
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_38_FastText_historicalVAD.tsv,0.8583,0.0,0.6151,0.0,0.5472,0.0003,0.6735
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_39_FastText_historicalVAD.tsv,0.8468,0.0,0.6271,0.0,0.4957,0.0013,0.6565
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_3_FastText_historicalVAD.tsv,0.8539,0.0,0.6425,0.0,0.5209,0.0007,0.6725
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_40_FastText_historicalVAD.tsv,0.8553,0.0,0.6388,0.0,0.515,0.0008,0.6697
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_41_FastText_historicalVAD.tsv,0.8559,0.0,0.5998,0.0001,0.5412,0.0004,0.6656
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_42_FastText_historicalVAD.tsv,0.8547,0.0,0.591,0.0001,0.5366,0.0004,0.6608
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_43_FastText_historicalVAD.tsv,0.8638,0.0,0.5971,0.0001,0.5366,0.0004,0.6658
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_44_FastText_historicalVAD.tsv,0.8544,0.0,0.5868,0.0001,0.526,0.0006,0.6557
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_45_FastText_historicalVAD.tsv,0.8598,0.0,0.6242,0.0,0.5554,0.0002,0.6798
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_46_FastText_historicalVAD.tsv,0.8555,0.0,0.6225,0.0,0.5355,0.0004,0.6712
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_47_FastText_historicalVAD.tsv,0.8522,0.0,0.6037,0.0,0.5106,0.0009,0.6555
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_48_FastText_historicalVAD.tsv,0.8534,0.0,0.6409,0.0,0.5253,0.0006,0.6732
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_49_FastText_historicalVAD.tsv,0.8562,0.0,0.6325,0.0,0.5117,0.0009,0.6668
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_4_FastText_historicalVAD.tsv,0.8544,0.0,0.5825,0.0001,0.5229,0.0006,0.6533
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_50_FastText_historicalVAD.tsv,0.8567,0.0,0.6262,0.0,0.4901,0.0015,0.6577
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_5_FastText_historicalVAD.tsv,0.8654,0.0,0.6226,0.0,0.5365,0.0004,0.6749
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_6_FastText_historicalVAD.tsv,0.8526,0.0,0.6068,0.0,0.5159,0.0008,0.6584
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_7_FastText_historicalVAD.tsv,0.8547,0.0,0.6338,0.0,0.5489,0.0003,0.6791
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_8_FastText_historicalVAD.tsv,0.8661,0.0,0.6367,0.0,0.5514,0.0003,0.6847
stable_words\FastText_LinearRegression\Warriner7000\Warriner_7000_9_FastText_historicalVAD.tsv,0.8641,0.0,0.6134,0.0,0.5049,0.001,0.6608
Mean,0.8559300000000001,0.0,0.617744,2e-05,0.527054,0.0006160000000000001,0.6669040000000002
